timestamp,ch_1,ch_2,ch_3,ch_4
2252662.256960,1030.922241,1030.214233,0.000000,568.742004
2252662.261562,31.242752,30.623207,392.614288,1450.000000
2252662.266164,0.000000,0.000000,1404.242188,1364.768311
2252662.270767,955.957397,957.019470,1450.000000,351.016296
2252662.275369,1450.000000,1450.000000,0.000000,85.408653
2252662.279971,516.877258,514.753113,0.000000,1075.883545
2252662.284574,0.000000,0.000000,894.091431,1450.000000
2252662.289176,384.206177,386.595856,1450.000000,910.288086
2252662.293778,1373.619019,1375.123657,1049.243164,0.000000
2252662.298380,1450.000000,1450.000000,72.840752,0.000000
2252662.302983,659.726562,657.690918,0.000000,940.468750
2252662.307585,0.000000,0.000000,752.923767,1450.000000
2252662.311148,249.233963,250.384537,1450.000000,1047.296021
2252662.315749,1263.959595,1264.933105,1182.622192,64.167122
2252662.320349,1450.000000,1450.000000,172.941467,0.000000
2252662.324949,801.690796,799.920654,0.000000,800.805725
2252662.329549,0.000000,0.000000,612.198608,1450.000000
2252662.334149,131.254959,132.228531,1450.000000,1179.790039
2252662.338749,1145.803589,1146.688599,1306.531128,166.569000
2252662.343349,1450.000000,1450.000000,285.964111,0.000000
2252662.347949,943.389465,941.884888,0.000000,662.824280
2252662.352549,0.000000,0.000000,478.819519,1450.000000
2252662.357149,28.499054,29.207106,1450.000000,1302.017334
2252662.361749,1021.452087,1022.337158,1417.164185,283.751434
2252662.368100,1450.000000,1450.000000,413.767303,0.000000
2252662.372701,1076.857056,1075.529541,0.000000,527.320984
2252662.377303,70.982117,69.920036,345.617401,1450.000000
2252662.381904,0.000000,0.000000,1363.263794,1409.287109
2252662.386506,889.400574,890.462646,1450.000000,411.554657
2252662.391107,1450.000000,1450.000000,545.641846,0.000000
2252662.395709,1202.359131,1200.588989,0.000000,385.091248
2252662.400310,183.562225,182.146133,230.559113,1391.054688
2252662.404912,0.000000,0.000000,1249.975586,1450.000000
2252662.409514,753.012268,753.985840,1450.000000,545.730347
2252662.414115,1450.000000,1450.000000,682.649719,0.000000
2252662.418717,1314.850708,1314.319702,0.000000,259.412201
2252662.423298,308.887268,307.825195,121.430748,1277.943604
2252662.427899,0.000000,0.000000,1117.570068,1450.000000
2252662.432500,611.225037,613.614746,1450.000000,688.491089
2252662.437102,1450.000000,1450.000000,828.154175,0.000000
2252662.442388,966.401123,967.551697,1450.000000,332.960999
2252662.446990,1450.000000,1450.000000,466.428619,0.000000
2252662.456110,1132.616089,1131.377075,0.000000,465.897583
2252662.460718,118.244522,117.093941,304.992981,1450.000000
2252662.465326,0.000000,0.000000,1323.701416,1449.557495
2252662.469933,830.543823,831.694458,1450.000000,464.038940
2252662.474541,1450.000000,1450.000000,599.276672,0.000000
2252662.479149,1252.542236,1251.391724,0.000000,338.713898
2252662.483757,236.931580,235.692490,179.490936,1351.049805
2252662.488364,0.000000,0.000000,1192.269409,1450.000000
2252662.492972,691.234802,692.208374,1450.000000,604.056030
2252662.497580,1450.000000,1450.000000,738.320190,0.000000
2252662.502187,1361.582153,1360.874023,0.000000,210.291153
2252662.506795,368.717560,367.743988,82.045410,1227.848999
2252662.511861,0.000000,0.000000,1064.289185,1450.000000
2252662.516470,554.580994,555.643066,1450.000000,743.276550
2252662.523283,1450.000000,1450.000000,876.213135,0.000000
2252662.527894,1450.000000,1450.000000,0.000000,100.277725
2252662.532505,505.459930,504.751862,0.000000,1095.443481
2252662.537115,0.000000,0.000000,924.183594,1450.000000
2252662.541726,419.785767,420.847839,1450.000000,884.355713
2252662.546337,1396.984619,1397.604248,1018.796936,0.000000
2252662.550947,1450.000000,1450.000000,52.484283,7.611548
2252662.555558,644.768982,644.237915,0.000000,957.550476
2252662.564606,1047.738525,1049.774170,1395.568604,263.748993
2252662.569223,1450.000000,1450.000000,381.285492,0.000000
2252662.573839,1053.225952,1051.632812,0.000000,541.836060
2252662.578456,51.068180,49.740585,372.434845,1450.000000
2252662.583072,0.000000,0.000000,1386.452393,1391.585815
2252662.587689,919.138733,920.908875,1450.000000,384.648712
2252662.592305,1450.000000,1450.000000,510.062256,0.000000
2252662.596922,1181.383179,1180.321045,0.000000,408.102905
2252662.601538,164.621857,162.586212,252.243179,1409.729614
2252662.606155,0.000000,0.000000,1272.898682,1450.000000
2252662.610771,773.103210,778.856140,1450.000000,516.080688
2252662.615388,1450.000000,1450.000000,645.831055,0.000000
2252662.621480,1299.185181,1297.769043,0.000000,283.662933
2252662.626098,290.831970,289.769897,141.787216,1302.194336
2252662.630716,0.000000,0.000000,1143.413940,1450.000000
2252662.635335,630.342407,631.670044,1450.000000,656.363281
2252662.639953,1450.000000,1450.000000,790.450439,0.000000
2252662.644572,1398.135254,1397.250244,0.000000,171.613861
2252662.649190,419.874268,418.546661,48.501495,1184.303833
2252662.653808,0.000000,0.000000,1011.981934,1450.000000
2252662.663166,492.006958,492.980530,1450.000000,799.212585
2252662.667790,1444.866577,1445.663208,932.237671,0.000000
2252662.672413,1450.000000,1450.000000,1.770128,62.662518
2252662.677036,560.510864,558.386719,0.000000,1044.109741
2252662.681660,0.000000,0.000000,866.300415,1450.000000
2252662.686283,359.689911,360.751984,1450.000000,938.433105
2252662.690907,1354.236084,1354.944092,1071.281250,0.000000
2252662.695530,1450.000000,1450.000000,89.214432,0.000000
2252662.700154,703.537170,702.829163,0.000000,901.968506
2252662.704777,0.000000,0.000000,722.300537,1450.000000
2252662.709400,234.099365,234.895935,1450.000000,1075.087036
2252662.714024,1251.037598,1251.745728,1203.509766,86.382225
2252662.719513,1450.000000,1450.000000,190.200211,0.000000
2252662.724137,841.784180,841.164612,0.000000,757.349060
2252662.728761,0.000000,0.000000,581.929443,1450.000000
2252662.733385,116.651405,117.624977,1450.000000,1206.872925
2252662.744906,577.681152,578.654724,1450.000000,710.175171
2252662.749539,1450.000000,1450.000000,847.448547,0.000000
2252662.754171,1430.617065,1429.732056,0.000000,125.148018
2252662.758803,468.641266,467.225159,15.842642,1128.013794
2252662.763436,0.000000,0.000000,958.966614,1450.000000
2252662.768068,434.654816,435.716888,1450.000000,851.519836
2252662.772700,1409.198608,1409.995117,986.757629,0.000000
2252662.777333,1450.000000,1450.000000,33.720932,30.092169
2252662.781965,609.985962,608.392822,0.000000,995.696777
2252662.786597,0.000000,0.000000,811.426453,1450.000000
2252662.791230,303.399872,304.373444,1450.000000,988.793274
2252662.795862,1310.779419,1311.664551,1127.217285,25.489838
2252662.802623,1450.000000,1450.000000,128.157242,0.000000
2252662.807258,752.658264,751.507629,0.000000,857.892334
2252662.811894,0.000000,0.000000,676.188721,1450.000000
2252662.816529,182.234634,182.854172,1450.000000,1124.208008
2252662.826973,1200.854492,1201.739624,1253.338867,123.643410
2252662.831617,1450.000000,1450.000000,234.630402,0.000000
2252662.836260,893.383362,891.878784,0.000000,706.723450
2252662.840904,0.000000,0.000000,540.331421,1450.000000
2252662.845547,71.159126,72.044189,1450.000000,1253.869873
2252662.850190,1079.069824,1079.954834,1368.485596,235.249954
2252662.854834,1450.000000,1450.000000,354.114014,0.000000
2252662.859477,1028.975098,1028.178589,0.000000,567.502869
2252662.864121,31.773790,31.065739,404.562653,1450.000000
2252662.868764,0.000000,0.000000,1411.942261,1370.255737
2252662.873408,948.699890,949.496399,1450.000000,359.158875
2252662.878051,1450.000000,1450.000000,484.572418,0.000000
2252662.883922,1152.176025,1151.645020,0.000000,432.619171
2252662.888567,136.742355,135.857285,287.380219,1427.607910
2252662.893212,0.000000,0.000000,1307.062134,1450.000000
2252662.897857,802.487305,805.054016,1450.000000,493.334564
2252662.907890,0.000000,0.000000,1050.482178,1450.000000
2252662.912542,516.346191,518.027832,1450.000000,771.421570
2252662.917194,1450.000000,1450.000000,902.765076,0.000000
2252662.921846,1450.000000,1450.000000,0.000000,84.877617
2252662.926497,515.726685,513.691040,0.000000,1075.352539
2252662.931149,0.000000,0.000000,909.226013,1450.000000
2252662.935801,378.630280,380.311920,1450.000000,911.438660
2252662.940453,1371.052246,1372.291382,1046.233887,0.000000
2252662.945104,1450.000000,1450.000000,68.326927,0.000000
2252662.949756,653.796631,651.760986,0.000000,940.999817
2252662.954408,0.000000,0.000000,776.377930,1450.000000
2252662.959060,247.994873,248.968445,1450.000000,1047.561523
2252662.970977,1262.808960,1263.694092,1178.373901,63.901604
2252662.975638,1450.000000,1450.000000,169.843735,0.000000
2252662.980300,796.114868,794.256226,0.000000,803.372375
2252662.984962,0.000000,0.000000,632.112549,1450.000000
2252662.989623,133.998657,134.883728,1450.000000,1179.878540
2252662.994285,1144.741455,1145.538086,1299.539185,163.825302
2252662.998947,1450.000000,1450.000000,281.892822,0.000000
2252663.003609,974.012695,973.039124,0.000000,681.499084
