timestamp,CH1_mean,CH1_std,CH1_var,CH1_skew,CH1_kurtosis,CH1_ptp,CH1_zcr,CH1_hjorth_activity,CH1_hjorth_mobility,CH1_hjorth_complexity,CH1_delta_power,CH1_theta_power,CH1_alpha_power,CH1_beta_power,CH1_gamma_power,CH1_delta_rel,CH1_theta_rel,CH1_alpha_rel,CH1_beta_rel,CH1_gamma_rel,CH1_total_power,CH1_spectral_entropy,CH2_mean,CH2_std,CH2_var,CH2_skew,CH2_kurtosis,CH2_ptp,CH2_zcr,CH2_hjorth_activity,CH2_hjorth_mobility,CH2_hjorth_complexity,CH2_delta_power,CH2_theta_power,CH2_alpha_power,CH2_beta_power,CH2_gamma_power,CH2_delta_rel,CH2_theta_rel,CH2_alpha_rel,CH2_beta_rel,CH2_gamma_rel,CH2_total_power,CH2_spectral_entropy,CH3_mean,CH3_std,CH3_var,CH3_skew,CH3_kurtosis,CH3_ptp,CH3_zcr,CH3_hjorth_activity,CH3_hjorth_mobility,CH3_hjorth_complexity,CH3_delta_power,CH3_theta_power,CH3_alpha_power,CH3_beta_power,CH3_gamma_power,CH3_delta_rel,CH3_theta_rel,CH3_alpha_rel,CH3_beta_rel,CH3_gamma_rel,CH3_total_power,CH3_spectral_entropy,CH4_mean,CH4_std,CH4_var,CH4_skew,CH4_kurtosis,CH4_ptp,CH4_zcr,CH4_hjorth_activity,CH4_hjorth_mobility,CH4_hjorth_complexity,CH4_delta_power,CH4_theta_power,CH4_alpha_power,CH4_beta_power,CH4_gamma_power,CH4_delta_rel,CH4_theta_rel,CH4_alpha_rel,CH4_beta_rel,CH4_gamma_rel,CH4_total_power,CH4_spectral_entropy
2445355.964076,0.194963,1.021700,1.043872,-0.082699,-1.356218,3.847966,0.058594,1.043872,0.216158,3.128031,0.410686,0.305206,0.194795,0.047745,0.005558,0.426027,0.316607,0.202072,0.049529,0.005765,0.963990,3.430107,-0.228634,0.991100,0.982280,0.160969,-1.022052,4.059235,0.062500,0.982280,0.270015,3.411690,0.113987,0.305761,0.299880,0.078242,0.009890,0.141115,0.378530,0.371249,0.096862,0.012244,0.807759,3.841575,0.157497,1.110928,1.234161,-0.183970,-1.177377,3.970795,0.062500,1.234161,0.349071,3.633674,0.240005,0.206133,0.467671,0.087046,0.006667,0.238213,0.204594,0.464179,0.086397,0.006618,1.007523,3.668374,-0.418009,0.921111,0.848446,0.534739,-0.821944,3.799799,0.058594,0.848446,0.229909,2.804836,0.215524,0.106332,0.216488,0.121872,0.003185,0.324877,0.160283,0.326331,0.183709,0.004801,0.663400,3.870851
2445357.260937,-0.061362,0.901545,0.812783,-0.093147,-0.908771,3.636299,0.082031,0.812783,0.397118,3.752837,0.076451,0.156027,0.378577,0.103615,0.013110,0.105047,0.214387,0.520180,0.142372,0.018013,0.727781,3.934095,-0.185687,0.993436,0.986915,-0.003781,-1.199401,3.705591,0.066406,0.986915,0.243405,2.617434,0.135690,0.204337,0.610196,0.091419,0.006244,0.129489,0.194999,0.582311,0.087241,0.005959,1.047886,3.244476,-0.093260,0.914526,0.836357,0.203308,-0.851414,3.718130,0.058594,0.836357,0.228822,2.824607,0.152299,0.181496,0.223152,0.044783,0.004065,0.251403,0.299600,0.368362,0.073925,0.006711,0.605796,3.559229,0.042435,1.002051,1.004106,-0.027047,-1.239251,3.836911,0.058594,1.004106,0.198731,3.156002,0.412979,0.217130,0.303427,0.058936,0.004593,0.414195,0.217769,0.304320,0.059110,0.004607,0.997066,3.295006
2445358.544663,-0.089263,1.048381,1.099102,0.001862,-0.987488,4.043720,0.062500,1.099102,0.250779,3.085919,0.258422,0.192494,0.272435,0.079018,0.015185,0.316091,0.235451,0.333232,0.096652,0.018574,0.817554,3.803817,-0.032911,1.016551,1.033377,-0.118027,-1.059723,3.876040,0.050781,1.033377,0.203267,2.916932,0.098523,0.828562,0.176021,0.045331,0.005261,0.085398,0.718179,0.152571,0.039292,0.004560,1.153698,3.191079,-0.186490,1.035141,1.071517,0.119000,-1.245965,3.985000,0.066406,1.071517,0.219430,2.938514,0.254760,0.317601,0.280704,0.117825,0.004429,0.261207,0.325638,0.287807,0.120807,0.004541,0.975319,3.784785,0.122657,0.994998,0.990021,-0.100667,-0.955117,3.894645,0.066406,0.990021,0.212864,2.955289,0.557460,0.189667,0.154363,0.092711,0.003858,0.558544,0.190036,0.154664,0.092891,0.003866,0.998060,3.399832
2445359.791328,-0.155113,1.007420,1.014895,0.163498,-1.060716,3.971541,0.062500,1.014895,0.206664,2.973847,0.191627,0.595449,0.156614,0.062679,0.003345,0.189783,0.589720,0.155108,0.062076,0.003313,1.009714,3.384666,-0.036381,1.083827,1.174682,0.050782,-1.294063,4.020851,0.050781,1.174682,0.225208,2.994758,0.123575,0.760981,0.254647,0.063238,0.004894,0.102354,0.630298,0.210916,0.052378,0.004054,1.207336,2.938018,-0.024972,1.101617,1.213560,-0.007515,-1.165545,4.044355,0.062500,1.213560,0.192112,3.065123,0.233322,0.771468,0.219877,0.057949,0.004752,0.181240,0.599260,0.170796,0.045014,0.003691,1.287369,3.319446,-0.110138,0.969538,0.940004,0.197396,-1.314044,3.384025,0.062500,0.940004,0.246838,3.319342,0.199113,0.399496,0.173858,0.050501,0.004574,0.240608,0.482750,0.210090,0.061025,0.005527,0.827542,3.382708
2445361.042662,-0.103114,1.092062,1.192599,0.056954,-1.330047,3.907873,0.070312,1.192599,0.247711,2.927514,0.175706,0.521100,0.154267,0.154765,0.018764,0.171487,0.508587,0.150563,0.151049,0.018314,1.024602,3.732167,0.146414,0.943494,0.890182,-0.268165,-0.847393,3.946540,0.062500,0.890182,0.225889,2.964539,0.103168,0.520748,0.115269,0.036439,0.003501,0.132415,0.668375,0.147947,0.046768,0.004494,0.779125,2.986613,-0.091056,0.899191,0.808545,0.159976,-1.045583,3.792624,0.062500,0.808545,0.238736,2.571873,0.039458,0.667727,0.128361,0.060767,0.004409,0.043807,0.741325,0.142509,0.067465,0.004895,0.900721,2.715562,0.075515,1.015948,1.032149,0.232812,-1.023040,3.776729,0.058594,1.032149,0.222547,3.103129,0.114006,0.591550,0.213137,0.031315,0.003537,0.119560,0.620369,0.223521,0.032841,0.003710,0.953546,2.954709
2445362.264476,-0.254556,0.963488,0.928308,0.008722,-1.043630,3.738036,0.074219,0.928308,0.356848,4.234298,0.106692,0.346687,0.182028,0.068667,0.008104,0.149811,0.486798,0.255594,0.096418,0.011379,0.712177,3.773924,-0.180262,0.898191,0.806747,0.122620,-0.871542,3.607571,0.058594,0.806747,0.248448,3.120505,0.022750,0.414264,0.182346,0.064095,0.011592,0.032732,0.596023,0.262351,0.092217,0.016678,0.695047,2.948143,0.206707,1.057225,1.117725,-0.252667,-1.054678,4.087001,0.058594,1.117725,0.238402,2.900174,0.108150,0.516696,0.384583,0.090743,0.012670,0.097184,0.464303,0.345586,0.081542,0.011385,1.112842,3.193572,0.060072,0.965934,0.933028,0.028125,-1.203006,3.730310,0.062500,0.933028,0.240445,2.620738,0.090308,0.492261,0.278649,0.093221,0.007884,0.093844,0.511534,0.289558,0.096871,0.008192,0.962324,3.419376
2445363.446906,0.223489,1.011625,1.023385,-0.272971,-0.997671,3.952101,0.066406,1.023385,0.307683,2.687333,0.052394,0.548127,0.321023,0.081182,0.013772,0.051543,0.539231,0.315813,0.079865,0.013548,1.016497,3.143829,0.224891,1.027600,1.055961,-0.272328,-1.022627,4.022702,0.066406,1.055961,0.250603,2.937873,0.080828,0.812063,0.380797,0.073912,0.009689,0.059551,0.598298,0.280557,0.054456,0.007138,1.357289,2.885460,0.092367,0.910635,0.829256,0.126925,-0.908676,3.885329,0.062500,0.829256,0.255832,2.871936,0.243351,0.207793,0.269085,0.115264,0.006744,0.288934,0.246716,0.319489,0.136854,0.008007,0.842237,3.915061,0.020758,0.918896,0.844370,0.121949,-0.833543,3.902522,0.078125,0.844370,0.390924,3.700980,0.057626,0.479064,0.230029,0.134094,0.012367,0.063105,0.524611,0.251899,0.146843,0.013543,0.913180,4.176103
2445364.600072,-0.148121,1.009612,1.019317,0.041763,-1.210694,3.923881,0.066406,1.019317,0.245879,2.721666,0.177820,0.383510,0.355670,0.083777,0.008810,0.176131,0.379868,0.352293,0.082981,0.008726,1.009587,3.795048,-0.035232,0.946052,0.895015,0.029587,-1.158518,3.946098,0.074219,0.895015,0.272711,2.589971,0.125321,0.474381,0.310149,0.137915,0.014684,0.117955,0.446497,0.291918,0.129809,0.013821,1.062450,3.796970,-0.088161,1.063266,1.130534,-0.022003,-1.199536,4.149309,0.066406,1.130534,0.223725,2.831102,0.221551,0.428409,0.396007,0.092277,0.007066,0.193442,0.374055,0.345764,0.080570,0.006170,1.145309,3.663663,0.140305,0.862431,0.743788,-0.389404,-0.861198,3.833237,0.070312,0.743788,0.315648,3.606702,0.048438,0.185001,0.330590,0.091251,0.012132,0.072576,0.277192,0.495331,0.136724,0.018177,0.667411,3.835927
2445365.765602,0.172015,0.930450,0.865736,-0.446742,-0.922670,3.904952,0.054688,0.865736,0.260924,3.841416,0.182845,0.066816,0.336923,0.084675,0.010718,0.268110,0.097973,0.494039,0.124161,0.015717,0.681977,3.762134,0.337087,0.915360,0.837884,-0.357438,-0.950629,4.058177,0.070312,0.837884,0.296449,2.637883,0.182424,0.202442,0.316604,0.258335,0.007755,0.188540,0.209229,0.327219,0.266996,0.008015,0.967560,4.260113,-0.134255,0.959632,0.920894,0.388221,-0.587397,4.072530,0.050781,0.920894,0.238139,2.944558,0.034981,0.066806,0.283592,0.128648,0.007161,0.067117,0.128181,0.544125,0.246836,0.013741,0.521189,4.144878,-0.185145,1.050045,1.102595,0.130599,-1.215315,3.726380,0.058594,1.102595,0.230439,3.296620,0.641779,0.300201,0.300060,0.102948,0.016419,0.471409,0.220508,0.220404,0.075619,0.012061,1.361408,3.732899
2445367.012326,0.221062,0.834576,0.696517,-0.559092,-0.445012,3.585371,0.039062,0.696517,0.246240,4.005750,0.182136,0.364381,0.095474,0.068661,0.007270,0.253698,0.507549,0.132987,0.095639,0.010127,0.717922,3.815737,-0.009285,1.012141,1.024430,-0.243523,-1.048729,3.636681,0.039062,1.024430,0.183882,4.336730,0.415468,0.438905,0.049040,0.016820,0.001795,0.450602,0.476022,0.053187,0.018242,0.001947,0.922028,2.953984,0.161623,0.808190,0.653171,-0.467576,-0.571052,3.600389,0.058594,0.653171,0.316846,3.340322,0.079910,0.238132,0.141271,0.061680,0.012412,0.149811,0.446436,0.264848,0.115635,0.023270,0.533405,4.223572,0.251551,1.107653,1.226896,-0.372961,-1.171162,3.850323,0.066406,1.226896,0.280616,3.002687,0.253266,0.239857,0.130152,0.211455,0.019575,0.296459,0.280763,0.152348,0.247517,0.022913,0.854305,4.174477
