timestamp,CH1_mean,CH1_std,CH1_var,CH1_skew,CH1_kurtosis,CH1_ptp,CH1_zcr,CH1_hjorth_activity,CH1_hjorth_mobility,CH1_hjorth_complexity,CH1_delta_power,CH1_theta_power,CH1_alpha_power,CH1_beta_power,CH1_gamma_power,CH1_delta_rel,CH1_theta_rel,CH1_alpha_rel,CH1_beta_rel,CH1_gamma_rel,CH1_total_power,CH1_spectral_entropy,CH2_mean,CH2_std,CH2_var,CH2_skew,CH2_kurtosis,CH2_ptp,CH2_zcr,CH2_hjorth_activity,CH2_hjorth_mobility,CH2_hjorth_complexity,CH2_delta_power,CH2_theta_power,CH2_alpha_power,CH2_beta_power,CH2_gamma_power,CH2_delta_rel,CH2_theta_rel,CH2_alpha_rel,CH2_beta_rel,CH2_gamma_rel,CH2_total_power,CH2_spectral_entropy,CH3_mean,CH3_std,CH3_var,CH3_skew,CH3_kurtosis,CH3_ptp,CH3_zcr,CH3_hjorth_activity,CH3_hjorth_mobility,CH3_hjorth_complexity,CH3_delta_power,CH3_theta_power,CH3_alpha_power,CH3_beta_power,CH3_gamma_power,CH3_delta_rel,CH3_theta_rel,CH3_alpha_rel,CH3_beta_rel,CH3_gamma_rel,CH3_total_power,CH3_spectral_entropy,CH4_mean,CH4_std,CH4_var,CH4_skew,CH4_kurtosis,CH4_ptp,CH4_zcr,CH4_hjorth_activity,CH4_hjorth_mobility,CH4_hjorth_complexity,CH4_delta_power,CH4_theta_power,CH4_alpha_power,CH4_beta_power,CH4_gamma_power,CH4_delta_rel,CH4_theta_rel,CH4_alpha_rel,CH4_beta_rel,CH4_gamma_rel,CH4_total_power,CH4_spectral_entropy
2451723.795481,-0.152071,0.920395,0.847126,0.002918,-0.534507,3.946256,0.058594,0.847126,0.328119,2.750834,0.111806,0.349048,0.130425,0.096007,0.014817,0.159245,0.497146,0.185764,0.136742,0.021103,0.702104,3.957570,-0.158429,0.913954,0.835312,0.007723,-0.557981,3.928349,0.058594,0.835312,0.327700,2.750240,0.111029,0.354685,0.127405,0.094916,0.015165,0.157891,0.504387,0.181179,0.134977,0.021565,0.703200,3.945909,0.269940,0.848158,0.719372,-0.514601,-0.484184,3.915529,0.054688,0.719372,0.322756,3.113952,0.391111,0.141512,0.128916,0.081021,0.026898,0.508294,0.183912,0.167541,0.105296,0.034957,0.769457,3.905236,0.142659,1.047723,1.097723,-0.622166,-0.681955,4.395941,0.031250,1.097723,0.217270,4.289258,0.305489,0.147399,0.077458,0.025051,0.005438,0.544703,0.262821,0.138111,0.044668,0.009697,0.560835,3.379388
2451725.083482,0.114356,1.006755,1.013557,-0.064902,-1.097359,3.951818,0.062500,1.013557,0.221046,3.433398,0.431373,0.228817,0.340868,0.054088,0.005896,0.406556,0.215653,0.321257,0.050977,0.005557,1.061043,3.312058,0.104590,0.994799,0.989625,-0.063902,-1.092658,3.937864,0.062500,0.989625,0.222689,3.432959,0.419992,0.225772,0.338624,0.053558,0.006027,0.402302,0.216262,0.324360,0.051302,0.005773,1.043974,3.318741,0.116642,0.875523,0.766540,-0.023108,-0.971171,3.651563,0.074219,0.766540,0.262864,2.663944,0.115679,0.070294,0.494624,0.061465,0.009810,0.153855,0.093492,0.657856,0.081749,0.013047,0.751872,3.349544,-0.107979,0.899131,0.808436,0.227983,-0.642967,4.050847,0.058594,0.808436,0.241537,2.616136,0.193079,0.067972,0.325398,0.153184,0.004746,0.259382,0.091314,0.437141,0.205787,0.006376,0.744378,3.772006
2451726.364836,0.035562,1.006519,1.013080,-0.003964,-1.226148,3.860291,0.050781,1.013080,0.226594,2.900155,0.195957,0.377824,0.193880,0.092725,0.005178,0.226392,0.436506,0.223993,0.107127,0.005982,0.865565,3.307357,0.061356,1.032272,1.065585,0.062716,-1.173052,3.830528,0.050781,1.065585,0.222693,2.889671,0.223304,0.488494,0.248493,0.092514,0.004698,0.211161,0.461931,0.234981,0.087484,0.004443,1.057503,3.273146,0.084556,0.938109,0.880048,-0.042449,-1.015293,3.846334,0.062500,0.880048,0.247855,2.609469,0.048991,0.576315,0.224751,0.088094,0.005972,0.051891,0.610423,0.238052,0.093308,0.006326,0.944125,3.139044,0.143801,1.036018,1.073333,-0.092812,-0.732661,4.302561,0.066406,1.073333,0.242686,2.592396,0.094157,0.498367,0.213058,0.075217,0.007480,0.105999,0.561048,0.239855,0.084677,0.008421,0.888279,3.412298
2451727.646704,0.134210,1.002881,1.005770,-0.325203,-1.074972,4.046406,0.066406,1.005770,0.224247,2.776133,0.059354,0.625986,0.334598,0.047356,0.004247,0.055391,0.584192,0.312258,0.044195,0.003964,1.071541,2.760713,0.125878,0.996237,0.992487,-0.340164,-1.082565,4.012644,0.062500,0.992487,0.223328,2.787959,0.060907,0.615373,0.324111,0.046189,0.004146,0.057966,0.585665,0.308464,0.043959,0.003946,1.050725,2.781639,-0.139452,0.851628,0.725270,0.026045,-1.208695,3.504560,0.046875,0.725270,0.219252,2.998744,0.288187,0.362405,0.120128,0.063932,0.004480,0.343435,0.431881,0.143157,0.076188,0.005339,0.839133,3.483984,0.013903,0.871091,0.758800,-0.188183,-0.684986,3.907010,0.054688,0.758800,0.284966,2.419079,0.075868,0.406959,0.263588,0.071855,0.005589,0.092089,0.493967,0.319943,0.087217,0.006784,0.823859,3.777746
2451728.919914,-0.164638,0.908884,0.826071,-0.009689,-1.124792,3.580619,0.066406,0.826071,0.243150,2.558109,0.080323,0.675665,0.170078,0.049056,0.003388,0.082087,0.690505,0.173813,0.050133,0.003462,0.978510,2.876470,-0.168549,0.893352,0.798079,0.009070,-1.135289,3.531135,0.066406,0.798079,0.244021,2.551042,0.078669,0.658146,0.162343,0.047389,0.003305,0.082822,0.692893,0.170914,0.049891,0.003479,0.949852,2.875817,-0.213839,1.153443,1.330432,0.261480,-1.323426,3.963652,0.054688,1.330432,0.189159,3.229208,0.153206,0.589526,0.244980,0.059481,0.005865,0.145486,0.559823,0.232637,0.056484,0.005569,1.053058,2.754325,-0.158077,0.937666,0.879217,0.021649,-1.071868,3.929480,0.046875,0.879217,0.201278,2.913088,0.124105,0.511662,0.077668,0.021523,0.001935,0.168417,0.694351,0.105400,0.029207,0.002625,0.736892,3.084959
2451730.166955,0.340073,1.076885,1.159682,-0.316163,-0.965737,3.961993,0.054688,1.159682,0.188775,3.032729,0.490134,0.408610,0.348954,0.055097,0.004956,0.374792,0.312452,0.266835,0.042131,0.003790,1.307752,3.434604,0.381588,1.091536,1.191452,-0.361166,-0.991009,3.969886,0.054688,1.191452,0.216025,3.543905,0.482479,0.406396,0.339776,0.053994,0.004851,0.374742,0.315648,0.263904,0.041937,0.003768,1.287497,3.432377,0.119384,0.989694,0.979494,-0.099231,-1.137328,3.705823,0.078125,0.979494,0.305423,3.362965,0.136925,0.259749,0.521666,0.070873,0.006700,0.137486,0.260815,0.523807,0.071164,0.006728,0.995913,3.197886,-0.012445,0.890890,0.793685,-0.168253,-0.460615,4.231997,0.082031,0.793685,0.443289,3.568490,0.107169,0.246068,0.439551,0.126901,0.004357,0.115978,0.266294,0.475681,0.137332,0.004715,0.924046,3.674058
2451731.364285,-0.119206,1.044156,1.090261,-0.187739,-1.058122,3.838830,0.066406,1.090261,0.209946,2.800401,0.213752,0.641877,0.201014,0.048549,0.003813,0.192742,0.578787,0.181256,0.043777,0.003438,1.109005,3.251765,-0.122890,1.033976,1.069107,-0.169337,-1.056897,3.856208,0.066406,1.069107,0.210030,2.797587,0.211535,0.620912,0.195573,0.048015,0.003727,0.195909,0.575046,0.181126,0.044468,0.003451,1.079761,3.264891,-0.232192,1.047712,1.097701,0.136961,-1.189897,3.731233,0.054688,1.097701,0.189134,3.059143,0.156981,0.654357,0.184900,0.043377,0.003305,0.150521,0.627428,0.177290,0.041591,0.003169,1.042920,3.227747,-0.223715,1.066776,1.138012,0.547483,-0.651478,4.298611,0.054688,1.138012,0.195554,2.918686,0.020337,0.663226,0.224258,0.048197,0.002574,0.021216,0.691876,0.233945,0.050279,0.002685,0.958592,3.133309
2451732.570208,-0.119736,1.014481,1.029173,0.208926,-1.007417,4.138613,0.074219,1.029173,0.250048,2.814458,0.191659,0.262018,0.232045,0.102184,0.008061,0.240787,0.329182,0.291526,0.128377,0.010128,0.795967,3.696849,-0.123766,1.002111,1.004226,0.208151,-1.007407,4.035529,0.074219,1.004226,0.251564,2.810785,0.186056,0.257797,0.227234,0.099610,0.007989,0.238936,0.331067,0.291817,0.127921,0.010259,0.778686,3.697144,0.021465,0.994999,0.990023,0.010675,-1.074662,3.732520,0.066406,0.990023,0.288619,3.993386,0.107240,0.406574,0.339670,0.045349,0.004679,0.118693,0.449993,0.375944,0.050192,0.005179,0.903512,3.456584,0.124025,1.057954,1.119266,0.074649,-1.024829,4.351520,0.070312,1.119266,0.292728,3.984034,0.253239,0.233523,0.283557,0.065211,0.005354,0.301158,0.277711,0.337213,0.077551,0.006367,0.840884,3.621234
2451733.816748,0.106987,1.021935,1.044352,-0.072696,-1.133040,3.674221,0.078125,1.044352,0.268226,3.077743,0.515071,0.101380,0.177720,0.113396,0.013196,0.559396,0.110104,0.193014,0.123154,0.014332,0.920763,3.722276,0.071427,1.033182,1.067465,-0.062271,-1.152047,3.928492,0.074219,1.067465,0.276679,2.964530,0.471757,0.140541,0.187148,0.139721,0.011395,0.496293,0.147850,0.196881,0.146988,0.011988,0.950562,3.920568,-0.239343,0.936156,0.876388,0.034740,-0.538875,3.997697,0.031250,0.876388,0.211097,3.077619,0.487212,0.073984,0.143505,0.062352,0.004179,0.631733,0.095929,0.186072,0.080847,0.005419,0.771232,3.178964,-0.061394,1.093926,1.196674,-0.094709,-1.126825,4.278638,0.058594,1.196674,0.272983,2.916409,0.494959,0.246136,0.274331,0.137303,0.011431,0.425164,0.211428,0.235647,0.117942,0.009819,1.164159,3.682229
2451735.095167,-0.175538,0.835452,0.697980,0.553126,-0.642137,3.745227,0.066406,0.697980,0.348408,2.367035,0.132256,0.177286,0.342842,0.099814,0.015822,0.172204,0.230835,0.446398,0.129962,0.020601,0.768020,3.968268,-0.171206,0.829612,0.688256,0.550464,-0.645847,3.674336,0.066406,0.688256,0.349851,2.369797,0.132153,0.174530,0.337732,0.098242,0.015469,0.174316,0.230212,0.445482,0.129586,0.020404,0.758127,3.968225,0.212840,1.140533,1.300817,-0.158687,-1.228513,3.911514,0.074219,1.300817,0.310581,2.930652,0.094728,0.145199,0.432509,0.187126,0.043389,0.104909,0.160805,0.478995,0.207239,0.048052,0.902951,4.313938,0.139223,0.982008,0.964340,-0.484047,-0.653400,4.300596,0.062500,0.964340,0.283952,3.045336,0.039552,0.186750,0.311332,0.136905,0.008476,0.057908,0.273420,0.455820,0.200441,0.012410,0.683015,3.901183
