timestamp,CH1_mean,CH1_std,CH1_var,CH1_skew,CH1_kurtosis,CH1_ptp,CH1_zcr,CH1_hjorth_activity,CH1_hjorth_mobility,CH1_hjorth_complexity,CH1_delta_power,CH1_theta_power,CH1_alpha_power,CH1_beta_power,CH1_gamma_power,CH1_delta_rel,CH1_theta_rel,CH1_alpha_rel,CH1_beta_rel,CH1_gamma_rel,CH1_total_power,CH1_spectral_entropy,CH2_mean,CH2_std,CH2_var,CH2_skew,CH2_kurtosis,CH2_ptp,CH2_zcr,CH2_hjorth_activity,CH2_hjorth_mobility,CH2_hjorth_complexity,CH2_delta_power,CH2_theta_power,CH2_alpha_power,CH2_beta_power,CH2_gamma_power,CH2_delta_rel,CH2_theta_rel,CH2_alpha_rel,CH2_beta_rel,CH2_gamma_rel,CH2_total_power,CH2_spectral_entropy,CH3_mean,CH3_std,CH3_var,CH3_skew,CH3_kurtosis,CH3_ptp,CH3_zcr,CH3_hjorth_activity,CH3_hjorth_mobility,CH3_hjorth_complexity,CH3_delta_power,CH3_theta_power,CH3_alpha_power,CH3_beta_power,CH3_gamma_power,CH3_delta_rel,CH3_theta_rel,CH3_alpha_rel,CH3_beta_rel,CH3_gamma_rel,CH3_total_power,CH3_spectral_entropy,CH4_mean,CH4_std,CH4_var,CH4_skew,CH4_kurtosis,CH4_ptp,CH4_zcr,CH4_hjorth_activity,CH4_hjorth_mobility,CH4_hjorth_complexity,CH4_delta_power,CH4_theta_power,CH4_alpha_power,CH4_beta_power,CH4_gamma_power,CH4_delta_rel,CH4_theta_rel,CH4_alpha_rel,CH4_beta_rel,CH4_gamma_rel,CH4_total_power,CH4_spectral_entropy
2451367.692749,0.213570,0.976438,0.953431,0.117185,-0.851656,4.090590,0.066406,0.953431,0.265228,3.607805,0.324043,0.130438,0.214336,0.063385,0.004009,0.440149,0.177175,0.291134,0.086096,0.005446,0.736211,3.769435,0.215998,0.957549,0.916901,0.096508,-0.855134,3.996942,0.074219,0.916901,0.268527,3.607474,0.308887,0.129030,0.208572,0.062341,0.003997,0.433327,0.181012,0.292598,0.087456,0.005607,0.712827,3.782463,-0.109033,1.239702,1.536861,0.092384,-1.303692,3.893228,0.046875,1.536861,0.192308,4.252464,0.986409,0.429544,0.072967,0.110394,0.006714,0.614192,0.267457,0.045433,0.068737,0.004181,1.606028,3.157136,-0.180528,0.928875,0.862808,-0.444030,-0.631992,3.956453,0.062500,0.862808,0.278947,2.692709,0.285360,0.405048,0.101201,0.219807,0.012796,0.278614,0.395473,0.098809,0.214611,0.012493,1.024212,3.824546
2451368.864467,0.034562,0.891921,0.795524,-0.013736,-0.724440,3.961937,0.082031,0.795524,0.276246,2.403564,0.226614,0.147390,0.245587,0.129973,0.004162,0.300658,0.195549,0.325831,0.172440,0.005522,0.753727,3.914409,0.050807,0.887458,0.787582,-0.014430,-0.709469,3.962777,0.082031,0.787582,0.274903,2.412179,0.233252,0.143747,0.238769,0.128233,0.004116,0.311785,0.192145,0.319160,0.171407,0.005502,0.748117,3.904160,-0.022298,0.862422,0.743772,-0.086350,-0.924351,3.537218,0.062500,0.743772,0.236172,2.641378,0.232428,0.192244,0.306731,0.137205,0.003594,0.266484,0.220412,0.351674,0.157309,0.004121,0.872202,3.871058,-0.155322,0.935218,0.874632,0.214217,-1.083734,3.616224,0.054688,0.874632,0.200321,3.512767,0.568017,0.068536,0.081770,0.069526,0.001927,0.719212,0.086780,0.103536,0.088032,0.002440,0.789776,3.067615
2451370.078452,-0.087043,1.120729,1.256034,0.113759,-1.323119,3.848378,0.058594,1.256034,0.214043,3.152488,0.188639,0.433945,0.320021,0.076256,0.007464,0.183800,0.422815,0.311812,0.074300,0.007273,1.026326,3.555531,-0.071104,1.113895,1.240763,0.107519,-1.336053,3.807668,0.054688,1.240763,0.213495,3.153811,0.187906,0.430042,0.318904,0.074513,0.007361,0.184452,0.422137,0.313042,0.073143,0.007226,1.018726,3.552062,0.161072,0.867548,0.752639,-0.297990,-0.770767,3.892951,0.050781,0.752639,0.205656,3.153748,0.208921,0.133487,0.242449,0.028209,0.004385,0.338360,0.216190,0.392662,0.045686,0.007102,0.617451,3.400016,0.018934,1.058260,1.119914,0.038087,-1.018080,3.985806,0.054688,1.119914,0.189476,2.928642,0.293068,0.279725,0.517171,0.028107,0.002487,0.261538,0.249630,0.461530,0.025083,0.002219,1.120557,3.273592
2451371.335331,-0.184501,0.851930,0.725785,0.306885,-0.826244,3.569022,0.058594,0.725785,0.285017,3.012699,0.070737,0.333421,0.151789,0.108471,0.009732,0.104928,0.494579,0.225157,0.160900,0.014435,0.674150,3.858009,-0.136109,0.875159,0.765904,0.302510,-0.847778,3.913323,0.058594,0.765904,0.305086,2.835050,0.062290,0.349908,0.145923,0.117796,0.010617,0.090732,0.509674,0.212550,0.171581,0.015464,0.686533,3.787196,-0.021541,0.908102,0.824648,0.033931,-1.069059,3.987155,0.074219,0.824648,0.247039,2.673359,0.194748,0.283539,0.209915,0.113275,0.005677,0.241278,0.351282,0.260069,0.140339,0.007033,0.807154,3.600712,-0.062868,0.958992,0.919665,0.130880,-0.991647,3.802194,0.054688,0.919665,0.212782,3.225944,0.288062,0.424458,0.220082,0.063554,0.006587,0.287274,0.423297,0.219480,0.063380,0.006569,1.002743,3.447332
2451372.626295,-0.027496,1.042692,1.087208,0.051849,-1.159575,4.042542,0.054688,1.087208,0.200011,2.766322,0.157246,0.484626,0.255141,0.035114,0.005026,0.167791,0.517125,0.272251,0.037469,0.005363,0.937153,3.031996,-0.018283,1.042220,1.086222,0.086096,-1.214697,4.052445,0.054688,1.086222,0.198045,2.756990,0.156411,0.434411,0.263062,0.036117,0.004810,0.174798,0.485478,0.293986,0.040362,0.005375,0.894811,3.178472,0.177386,1.058834,1.121129,-0.059484,-1.102390,3.952088,0.062500,1.121129,0.227739,2.505175,0.065691,0.589154,0.310077,0.050464,0.006317,0.064296,0.576639,0.303491,0.049392,0.006183,1.021703,2.703701,0.030408,1.184771,1.403682,-0.289060,-1.339815,3.863021,0.046875,1.403682,0.196016,3.230685,0.523083,0.215864,0.111511,0.056661,0.003174,0.574631,0.237137,0.122500,0.062245,0.003487,0.910294,3.022906
2451373.903530,0.062002,1.073151,1.151654,0.190898,-1.132676,3.946238,0.066406,1.151654,0.271482,2.745808,0.104517,0.376184,0.412706,0.099409,0.007712,0.104462,0.375986,0.412488,0.099356,0.007708,1.000528,3.550015,0.014164,1.118352,1.250711,0.202815,-1.211525,4.083846,0.066406,1.250711,0.263353,2.814681,0.170170,0.395817,0.446754,0.101119,0.007257,0.151786,0.353055,0.398490,0.090195,0.006473,1.121117,3.470645,-0.075918,1.026291,1.053273,0.024715,-1.284343,3.924750,0.066406,1.053273,0.246513,2.869688,0.136180,0.504596,0.286152,0.052146,0.006946,0.138111,0.511750,0.290209,0.052885,0.007045,0.986020,3.465480,0.196704,0.977017,0.954563,-0.374786,-0.837240,3.969483,0.066406,0.954563,0.339141,4.240967,0.295375,0.260068,0.295804,0.085152,0.004596,0.313897,0.276375,0.314352,0.090492,0.004884,0.940996,3.941071
2451375.132041,-0.003437,1.092957,1.194556,0.295045,-1.345427,3.825883,0.054688,1.194556,0.209408,2.627396,0.118448,0.679891,0.360115,0.077962,0.003838,0.095503,0.548186,0.290356,0.062860,0.003095,1.240256,3.351392,-0.044739,1.047640,1.097550,0.349636,-1.227229,3.761956,0.054688,1.097550,0.205044,2.763322,0.120311,0.675877,0.359866,0.077803,0.003796,0.097209,0.546095,0.290765,0.062863,0.003067,1.237654,3.394474,0.234361,0.958200,0.918148,0.027889,-0.958284,3.969075,0.082031,0.918148,0.261077,2.499093,0.042728,0.284149,0.386869,0.132740,0.008952,0.049949,0.332167,0.452247,0.155172,0.010465,0.855439,3.807690,0.172256,0.873472,0.762954,-0.159910,-0.901464,3.567491,0.066406,0.762954,0.257239,2.533841,0.116046,0.248931,0.242131,0.067098,0.003672,0.171191,0.367221,0.357189,0.098982,0.005417,0.677878,3.691087
2451376.324684,0.202842,0.958742,0.919187,-0.104037,-0.711776,4.117165,0.062500,0.919187,0.222162,2.869114,0.276785,0.488348,0.150438,0.056445,0.002769,0.283945,0.500980,0.154330,0.057905,0.002840,0.974786,3.333467,0.168836,0.993623,0.987286,-0.087561,-0.831582,4.115194,0.062500,0.987286,0.227275,2.783377,0.277498,0.487826,0.151797,0.057526,0.002683,0.283935,0.499142,0.155318,0.058860,0.002745,0.977329,3.342665,-0.263303,1.056658,1.116526,0.147801,-1.320563,3.807000,0.054688,1.116526,0.214495,2.722972,0.113242,0.812709,0.184707,0.074591,0.004934,0.095147,0.682843,0.155192,0.062672,0.004146,1.190184,2.690749,-0.022344,0.936263,0.876589,0.233569,-0.916868,3.741386,0.054688,0.876589,0.220770,2.732813,0.142966,0.395684,0.126260,0.056505,0.004080,0.197060,0.545398,0.174033,0.077885,0.005624,0.725496,3.141105
2451377.524645,0.012113,0.921921,0.849938,0.176769,-0.656115,4.060601,0.039062,0.849938,0.248265,2.986007,0.149243,0.345189,0.061942,0.172027,0.011831,0.201617,0.466326,0.083679,0.232395,0.015983,0.740232,3.956519,0.026167,0.917570,0.841935,0.182152,-0.681530,4.041477,0.039062,0.841935,0.245577,2.982387,0.150481,0.339755,0.061902,0.168584,0.011406,0.205539,0.464065,0.084551,0.230266,0.015579,0.732129,3.957277,-0.124752,1.003203,1.006416,-0.154625,-1.222355,3.940664,0.058594,1.006416,0.261586,3.050114,0.387473,0.118817,0.213112,0.155519,0.020798,0.432583,0.132650,0.237923,0.173625,0.023219,0.895718,3.950483,0.203980,0.978772,0.957996,-0.287935,-0.866767,3.480839,0.046875,0.957996,0.224079,3.173395,0.298244,0.348196,0.169134,0.160088,0.005612,0.303936,0.354840,0.172362,0.163143,0.005719,0.981274,3.893772
2451378.763074,-0.222612,0.937493,0.878894,0.118725,-0.836937,3.764149,0.042969,0.878894,0.258599,3.753317,0.118661,0.186144,0.094639,0.041217,0.004538,0.266534,0.418114,0.212577,0.092581,0.010194,0.445200,3.824645,-0.205737,0.935077,0.874369,0.098990,-0.825314,3.755672,0.042969,0.874369,0.261016,3.736759,0.118648,0.185302,0.092894,0.040280,0.004441,0.268698,0.419649,0.210375,0.091221,0.010057,0.441564,3.821873,0.044026,0.839585,0.704904,-0.409145,-0.548678,4.012586,0.066406,0.704904,0.388975,2.822248,0.078867,0.091685,0.363169,0.186027,0.034481,0.104566,0.121561,0.481510,0.246645,0.045717,0.754229,4.539664,-0.201220,1.024880,1.050379,0.097460,-1.249051,3.659818,0.062500,1.050379,0.264218,3.356900,0.243732,0.291940,0.095452,0.122644,0.008579,0.319713,0.382948,0.125208,0.160877,0.011253,0.762347,3.922408
