timestamp,CH1,CH2,CH3,CH4
2252588.402875,0.687164,0.595919,-1.896214,-1.293758
2252588.406781,0.687164,0.595919,-1.896214,-1.293758
2252588.406732,0.687164,0.595919,-1.896214,-1.293758
2252588.406958,0.687164,0.595919,-1.896214,-1.293758
2252588.407184,0.580092,0.496133,-1.896214,-1.293758
2252588.407411,0.473020,0.396346,-1.896214,-1.293758
2252588.407637,0.365948,0.296560,-1.896214,-0.760311
2252588.407863,0.258876,0.196774,-1.896214,-0.226864
2252588.408089,0.151805,0.096987,-1.896214,0.306583
2252588.408315,0.044733,-0.002799,-1.896214,0.840030
2252588.408541,-0.062339,-0.102586,-1.896214,1.373476
2252588.408767,-0.011249,-0.054949,-1.896214,0.697295
2252588.408994,0.039840,-0.007313,-1.896214,0.021113
2252588.409220,0.090930,0.040323,-1.896214,-0.655069
2252588.409754,0.142019,0.087959,-1.896214,-0.589220
2252588.410012,0.193109,0.135595,-1.896214,-0.523371
2252588.474151,0.244199,0.183232,-1.898669,-0.457522
2252588.480816,0.295288,0.230868,-1.901124,-0.391674
2252588.487481,0.346378,0.278504,-1.903579,-0.325825
2252588.494146,0.397468,0.326140,-1.906033,-0.259976
2252588.500811,0.448557,0.373776,-1.908488,-0.194127
2252588.507476,0.499647,0.421413,-1.910943,-0.128278
2252588.514141,0.550737,0.469049,-1.913398,-0.062430
2252588.520806,0.601826,0.516685,-1.915852,0.003419
2252588.527471,0.652916,0.564321,-1.918307,0.069268
2252588.534136,0.611676,0.549791,-1.920762,0.135117
2252588.540801,0.570436,0.535260,-1.923216,0.200965
2252588.547466,0.611832,0.577226,-1.717847,0.239036
2252588.554437,0.653228,0.619191,-1.512479,0.277107
2252588.561118,0.694623,0.661156,-1.307110,0.315177
2252588.567799,0.736019,0.703122,-1.101741,0.353248
2252588.574480,0.777414,0.745087,-0.896372,0.391319
2252588.591956,0.818810,0.787053,-0.855532,0.429389
2252588.599166,0.860206,0.829018,-0.814693,0.467460
2252588.606377,0.901601,0.870983,-0.773854,0.505530
2252588.613587,0.942997,0.912949,-0.733015,0.348918
2252588.620797,0.984392,0.954914,-0.692175,0.192306
2252588.628007,1.025788,0.996880,-0.802258,0.035694
2252588.635218,1.067184,1.038845,-0.912340,-0.120918
2252588.642428,1.108579,1.080810,-1.022422,-0.277531
2252588.649638,1.149975,1.122776,-1.132505,-0.434143
2252588.656848,1.191370,1.164741,-1.242587,-0.590755
2252588.664059,1.232766,1.206707,1.078724,-0.747367
2252588.671269,1.274162,1.248672,0.965540,-0.903980
2252588.671548,1.315557,1.290637,0.852356,-1.060592
2252588.669820,1.356953,1.332603,0.739171,-1.217204
2252588.676482,1.398349,1.374568,0.625987,-1.247784
2252588.683144,1.439744,1.416534,0.512803,-1.278364
2252588.689806,1.481140,1.458499,0.568973,-1.308944
2252588.696469,1.522535,1.500464,0.545854,-1.339524
2252588.703131,1.563931,1.542430,0.522736,-1.370104
2252588.709793,1.605327,1.584395,0.499617,-1.400684
2252588.716455,1.646722,1.626361,0.476499,-1.431264
2252588.723117,1.688118,1.668326,0.453380,-1.461844
2252588.729779,1.233020,1.214589,0.430262,-1.076411
2252588.736441,0.777922,0.760852,0.407143,-0.690978
2252588.743103,0.322824,0.307115,0.384025,-0.305545
2252588.734096,-0.132274,-0.146622,0.360906,0.079888
2252588.740341,-0.587372,-0.600359,0.337788,0.465321
2252588.746587,-0.590490,-0.619801,0.314669,0.489105
2252588.752833,-0.593607,-0.639244,0.291550,0.512888
2252588.759079,-0.596725,-0.658687,0.268432,0.536672
2252588.765325,-0.288018,-0.349341,0.245313,0.560455
2252588.771570,0.020689,-0.039995,0.222195,0.584239
2252588.766418,0.329396,0.269351,0.199076,0.608023
2252588.772390,0.638103,0.578696,0.175958,0.631806
2252588.778362,0.946810,0.888042,0.152839,0.655590
2252588.784334,0.925935,0.869089,0.129721,0.679373
2252588.790306,0.905060,0.850136,0.106602,0.703157
2252588.796278,0.884185,0.831183,0.083484,0.726941
2252588.802250,0.863310,0.812230,-0.002922,0.750724
2252588.808222,0.842435,0.793277,-0.089327,0.774508
2252588.814194,0.821559,0.774324,-0.175732,0.411536
2252588.820166,0.800684,0.755371,-0.262137,0.048564
2252588.826138,0.779809,0.736418,-0.348542,-0.314408
2252588.832110,0.758934,0.717465,-0.434947,-0.677380
2252588.821321,0.738059,0.698512,-0.521353,-1.040352
2252588.826955,0.717184,0.679559,-0.607758,-0.998653
