timestamp,CH1,CH2,CH3,CH4
2438753.027973,-1.987794,-1.770019,1.983477,-0.148616
2438753.032851,-1.987794,-1.770019,1.983477,-0.148616
2438753.037729,-1.987794,-1.770019,1.983477,-0.148616
2438753.042608,-1.987794,-1.770019,1.983477,-0.148616
2438753.047486,-1.987794,-1.770019,1.983477,-0.148616
2438753.052364,-1.987794,-1.770019,1.983477,-0.148616
2438753.057243,-1.987794,-1.770019,1.983477,-0.148616
2438753.062121,-1.987794,-1.770019,1.983477,-0.148616
2438753.066999,-1.987794,-1.770019,1.983477,-0.148616
2438753.071878,-1.987794,-1.770019,1.983477,-0.148616
2438753.076756,-1.987794,-1.770019,1.983477,-0.148616
2438753.081634,-1.987794,-1.770019,1.983477,-0.148616
2438753.084508,-1.987794,-1.770019,1.806388,-0.148616
2438753.089384,-1.987794,-1.770019,1.629299,-0.148616
2438753.094260,-1.987794,-1.770019,1.452211,-0.148616
2438753.099136,-1.987794,-1.770019,1.275122,-0.148616
2438753.104012,-1.987794,-1.770019,1.098033,-0.148616
2438753.108888,-1.934988,-1.770019,1.024611,-0.148616
2438753.113765,-1.882181,-1.770019,0.951189,-0.148616
2438753.118641,-1.829375,-1.770019,0.877767,-0.148616
2438753.123517,-1.776568,-1.770019,0.804345,-0.148616
2438753.128393,-1.723762,-1.770019,0.730923,-0.148616
2438753.133269,-1.731281,-1.778745,0.795150,-0.148616
2438753.138145,-1.738800,-1.787471,0.859378,-0.148616
2438753.141032,-1.746319,-1.796198,0.923606,-0.148616
2438753.145906,-1.753839,-1.804924,0.987833,-0.148616
2438753.150780,-1.761358,-1.813651,1.052061,-0.148616
2438753.155654,-1.247840,-1.300504,0.754722,-0.148616
2438753.160528,-0.734321,-0.787357,0.457383,-0.148616
2438753.165402,-0.220803,-0.274211,0.160044,-0.148616
2438753.170276,0.292715,0.238936,-0.137295,-0.148616
2438753.175149,0.806234,0.752082,-0.434634,-0.148616
2438753.180023,1.319752,1.265229,-0.731973,-0.148616
2438753.184897,1.093399,1.048968,-0.756800,-0.087934
2438753.189771,0.867046,0.832706,-0.781627,-0.027253
2438753.194645,0.640693,0.616445,-0.806455,0.033429
2438753.199195,0.414339,0.400184,-0.831282,0.094110
2438753.204068,0.187986,0.183922,-0.856109,0.154792
2438753.206978,0.619788,0.571464,-0.900730,-0.637078
2438753.211849,0.813030,0.765739,-0.796565,-0.347441
2438753.216721,1.006273,0.960014,-0.692400,-0.057803
2438753.221592,1.199516,1.154288,-0.588234,0.231834
2438753.226464,1.392758,1.348563,-0.484069,0.521471
2438753.231335,1.586001,1.542838,-0.379903,0.811109
2438753.236206,1.334058,1.288071,-0.275738,0.757653
2438753.241078,1.082116,1.033304,-0.171573,0.704198
2438753.245949,0.830173,0.778538,-0.067407,0.650742
2438753.250821,0.578230,0.523771,0.036758,0.597287
2438753.255692,0.326288,0.269004,0.140923,0.543831
2438753.260563,0.074345,0.014237,0.245089,0.490376
