timestamp,CH1,CH2,CH3,CH4
2437797.923409,2.029101,-0.281927,-1.784895,1.666495
2437797.923818,2.029101,-0.281927,-1.725666,1.666495
2437797.924228,2.029101,-0.281927,-1.666437,1.139081
2437797.924638,2.029101,-0.281927,-1.607207,0.611668
2437797.925048,2.029101,-0.281927,-1.547978,0.084254
2437797.925457,2.029101,-0.281927,-1.488749,-0.443159
2437797.925867,2.029101,-0.281927,-1.429519,-0.970573
2437797.926277,2.029101,-0.281927,-1.405219,-1.039542
2437797.926687,1.551187,-0.281927,-1.380918,-1.108511
2437797.927096,1.073273,-0.281927,-1.356617,-1.177480
2437797.927506,0.595358,-0.281927,-1.332316,-1.246449
2437797.927916,0.117444,-0.281927,-1.308015,-1.315418
2437797.927236,-0.360471,-0.281927,-1.273288,-1.049913
2437797.927509,-0.443744,-0.735912,-1.238560,-0.784409
2437797.927782,-0.527017,-1.189897,-1.203832,-0.518904
2437797.928055,-0.610291,-1.643882,-1.169105,-0.253400
2437797.954251,-0.693564,-2.097867,-1.134377,0.012105
2437797.956969,-0.776837,-0.715322,-1.152815,-0.008458
2437797.959687,-0.665623,-0.601238,-1.171253,-0.029021
2437797.962405,-0.554408,-0.487154,-1.189691,-0.049584
2437797.998404,-0.443194,-0.373070,-1.208129,-0.070147
2437798.003774,-0.331979,-0.258985,-1.226567,-0.090710
2437798.009145,-0.220765,-0.144901,-1.245005,-0.111273
2437798.014515,-0.109550,-0.030817,-1.263443,-0.131836
2437798.019885,0.001664,0.083268,-1.281881,-0.152399
2437798.025256,0.112879,0.197352,-0.746343,-0.172962
2437798.030626,0.224093,0.311436,-1.037988,-0.193525
2437798.035997,0.335307,0.425520,-1.329633,-0.214088
2437798.041367,0.446522,0.539605,-1.621278,-0.234651
2437798.046738,0.557736,0.653689,-1.912923,-0.255214
2437798.052108,0.668951,0.767773,-0.116833,-0.275777
2437798.057478,0.780165,0.881857,-0.591479,-0.296340
2437798.053936,0.300019,0.394014,-1.066126,-0.316903
2437798.058875,-0.180128,-0.093830,-1.540772,-0.337466
2437798.063815,-0.660274,-0.581674,-2.015419,-0.358029
2437798.068754,-1.140421,-1.069517,0.475816,-0.378592
2437798.073693,-1.620567,-1.557361,0.426726,-0.399155
2437798.078633,-1.559911,-1.496681,0.377635,-0.419718
2437798.083572,-1.499254,-1.436002,0.328545,-0.440281
2437798.088511,-1.438598,-1.375322,0.279454,-0.460844
2437798.105843,-1.377941,-1.314642,0.230364,-0.481407
2437798.111267,-1.317284,-1.253962,0.432467,-0.501970
2437798.116690,-1.256628,-1.193283,0.634570,-0.572489
