timestamp,CH1,CH2,CH3,CH4
2447854.681734,1.732809,1.910286,-1.697053,-1.761506
2447854.686523,1.732809,1.910286,-1.697053,-1.761506
2447854.691312,1.732809,1.910286,-1.697053,-1.761506
2447854.696100,1.732809,1.910286,-1.697053,-1.761506
2447854.700889,1.732809,1.910286,-1.697053,-1.761506
2447854.705678,1.732809,1.910286,-1.697053,-1.761506
2447854.710466,1.732809,1.910286,-1.697053,-1.761506
2447854.715255,1.732809,1.910286,-1.697053,-1.761506
2447854.720044,1.732809,1.910286,-1.697053,-1.761506
2447854.724833,1.732809,1.910286,-1.697053,-1.761506
2447854.729621,1.732809,1.910286,-1.697053,-1.761506
2447854.734410,1.732809,1.910286,-1.697053,-1.761506
2447854.742955,1.732809,1.786311,-1.600063,-1.761506
2447854.747750,1.732809,1.662335,-1.503073,-1.761506
2447854.752544,1.732809,1.538360,-1.406084,-1.761506
2447854.757338,1.732809,1.414384,-1.309094,-1.761506
2447854.762132,1.732809,1.290409,-1.212104,-1.761506
2447854.766927,1.732809,1.195929,-1.124157,-1.761506
2447854.771721,1.732809,1.101448,-1.036210,-1.761506
2447854.776515,1.732809,1.006967,-0.948264,-1.761506
2447854.781309,1.732809,0.912487,-0.860317,-1.761506
2447854.786103,1.732809,0.818006,-0.772370,-1.761506
2447854.790898,1.732809,0.675402,-0.631078,-1.761506
2447854.795692,1.732809,0.532797,-0.489785,-1.761506
2447854.804312,1.732809,0.390192,-0.348493,-1.761506
2447854.809112,1.732809,0.247587,-0.207201,-1.761506
2447854.813912,1.732809,0.104983,-0.065909,-1.761506
2447854.818711,1.732809,0.000396,0.000717,-1.761506
2447854.823511,1.732809,-0.104190,0.067344,-1.761506
2447854.828311,1.732809,-0.208777,0.133970,-1.761506
2447854.833111,1.732809,-0.313363,0.200596,-1.761506
2447854.837911,1.732809,-0.417950,0.267222,-1.761506
2447854.842711,1.605913,-0.556175,-0.125676,-1.522663
2447854.847511,1.479017,-0.247342,-0.180277,-1.283819
2447854.852311,1.352121,0.061492,-0.234877,-1.044976
2447854.857111,1.225225,0.370325,-0.289477,-0.806132
2447854.865671,1.098329,0.679159,-0.344077,-0.567289
2447854.870476,2.046845,-1.611423,1.523709,-0.397524
2447854.875282,1.968060,-1.498363,0.720701,-0.227759
2447854.880087,1.889275,-1.385303,-0.082307,-0.057994
2447854.884893,1.810490,-1.272243,-0.885315,0.111771
2447854.889698,1.731704,-1.159183,-1.688324,0.281536
2447854.894504,0.101297,-1.046123,-1.650273,0.388462
2447854.899310,-0.188946,-0.933064,-1.612222,0.495389
2447854.904115,-0.479189,-0.820004,-1.574171,0.602315
2447854.908921,-0.769432,-0.706944,-1.536120,0.709242
2447854.913726,-1.059675,-0.593884,-1.498068,0.816168
2447854.918532,-1.349918,-0.480824,-1.460017,0.909265
2447854.926968,-1.180941,-0.367764,-1.421966,1.002363
2447854.931779,-1.011964,-0.254704,-1.383915,1.095460
2447854.936590,-0.842986,-0.141644,-1.345864,1.188557
2447854.941401,-0.674009,-0.028584,-1.307813,1.281654
2447854.946212,-0.505032,0.084476,-1.269762,0.640124
2447854.951023,-0.336055,0.197536,-1.231711,0.687080
2447854.955834,-0.167078,0.310596,-1.193660,0.734037
2447854.960645,0.001899,0.423656,-1.155609,0.780994
2447854.965456,0.170877,0.536716,-1.117558,0.827951
2447854.970267,0.339854,0.649776,-1.079507,0.514312
2447854.975079,0.508831,0.762836,-1.041456,0.200673
2447854.979890,0.677808,0.700254,-0.949549,-0.112966
2447854.985895,0.846785,0.637672,-0.857643,-0.426605
2447854.990708,1.015762,0.575090,-0.765736,-0.740244
2447854.995521,1.184739,0.512509,-0.673830,-0.794549
2447855.000334,1.353717,0.449927,-0.581923,-0.848855
2447855.006338,0.904303,0.387345,-0.490016,-0.903160
2447855.011153,0.454889,0.324763,-0.398110,-0.957465
2447855.015967,0.005475,0.262182,-0.306203,-1.011771
2447855.020782,-0.443938,0.199600,-0.214296,-1.066076
2447855.026193,-0.893352,0.137018,-0.122390,-1.120381
2447855.031008,-1.342766,0.074436,-0.030483,-1.174687
2447855.039304,-1.342007,0.011855,0.061423,-1.228992
2447855.044125,-1.341248,-0.050727,0.153330,-1.283297
2447855.048946,-1.340489,-0.113309,0.245237,-1.337603
2447855.053768,-1.339730,-0.175891,0.337143,-1.391908
2447855.058589,-1.338971,-0.238472,0.429050,-1.446213
