timestamp,CH1,CH2,CH3,CH4
2450207.930237,-1.366221,-1.942831,1.368715,0.569566
2450207.935283,-1.366221,-1.942831,1.368715,0.569566
2450207.940329,-1.366221,-1.942831,1.368715,0.569566
2450207.945376,-1.366221,-1.942831,1.368715,0.569566
2450207.950422,-1.366221,-1.942831,1.368715,0.569566
2450207.955468,-1.366221,-1.942831,1.368715,0.569566
2450207.960514,-1.366221,-1.942831,1.368715,0.569566
2450207.965561,-1.366221,-1.942831,1.368715,0.569566
2450207.970607,-1.366221,-1.942831,1.368715,0.569566
2450207.975653,-1.366221,-1.942831,1.368715,0.569566
2450207.980700,-1.366221,-1.942831,1.368715,0.569566
2450207.985746,-1.366221,-1.942831,1.368715,0.569566
2450207.988688,-1.366221,-1.942831,1.368715,0.569566
2450207.993732,-1.366221,-1.942831,1.368715,0.569566
2450207.998776,-1.366221,-1.942831,1.368715,0.569566
2450208.003820,-1.366221,-1.942831,1.368715,0.569566
2450208.008864,-1.366221,-1.942831,1.368715,0.569566
2450208.013909,-1.366221,-1.915200,1.337505,0.569566
2450208.018953,-1.366221,-1.887569,1.306295,0.569566
2450208.023997,-1.366221,-1.859939,1.275085,0.569566
2450208.029041,-1.366221,-1.832308,1.243875,0.569566
2450208.034085,-1.366221,-1.804677,1.212665,0.569566
2450208.039129,-1.366221,-1.805476,1.242201,0.569566
2450208.044173,-1.366221,-1.806274,1.271737,0.569566
2450208.047015,-1.366221,-1.807073,1.301272,0.569566
2450208.052057,-1.366221,-1.807871,1.330808,0.569566
2450208.057099,-1.366221,-1.808670,1.360344,0.569566
2450208.062141,-1.366221,-1.809468,1.389879,0.569566
2450208.067183,-1.366221,-1.810267,1.419415,0.569566
2450208.072224,-1.366221,-1.811065,1.448951,0.569566
2450208.077266,-1.366221,-1.811864,1.478487,0.569566
2450208.082308,-1.366221,-1.812662,1.508022,0.569566
2450208.087350,-1.366221,-1.337798,0.972738,0.569566
2450208.092392,-1.366221,-0.862935,0.437454,0.569566
2450208.097433,-1.366221,-0.388071,-0.097830,0.569566
2450208.102475,-1.366221,0.086793,-0.633114,0.569566
2450208.106073,-1.366221,0.561657,-1.168398,0.569566
2450208.111114,-1.038684,0.643862,-0.891661,0.569566
2450208.116154,-0.711147,0.726068,-0.614924,0.569566
2450208.121194,-0.383611,0.808274,-0.338187,0.569566
2450208.126235,-0.056074,0.890480,-0.061450,0.569566
2450208.131275,0.271463,0.972686,0.215287,0.569566
2450208.136315,0.423533,1.054892,0.492024,0.359420
2450208.141356,0.575603,1.137098,0.768762,0.149273
2450208.040595,0.727674,1.219303,1.045499,-0.060873
2450208.149160,0.879744,1.301509,1.322236,-0.271019
2450208.154198,1.031814,1.383715,1.598973,-0.481165
2450208.159236,0.996144,1.465921,1.875710,-0.553959
2450208.164274,0.960474,1.548127,1.437796,-0.626752
2450208.169312,0.924804,1.630333,0.999882,-0.699546
2450208.174350,0.889133,1.712539,0.561968,-0.772340
2450208.179387,0.853463,1.794744,0.124055,-0.845134
2450208.184425,0.548579,0.061205,-0.313859,-0.834775
2450208.189463,0.243695,-0.116710,-0.087667,-0.824416
2450208.194501,-0.061190,-0.294626,0.138525,-0.814057
2450208.199539,-0.366074,-0.472541,0.364717,-0.803698
2450208.204577,-0.670958,-0.650457,0.590910,-0.793339
2450208.209025,0.754168,-0.481909,0.379831,-0.540529
2450208.214062,0.878382,-0.313361,0.168752,-0.287720
2450208.219099,1.002596,-0.144813,-0.042327,-0.034910
2450208.221691,1.126811,0.023735,-0.253406,0.217900
2450208.226726,1.251025,0.192283,-0.464484,0.470709
2450208.231760,1.375239,0.360831,-0.675563,0.723519
2450208.236795,1.499453,0.529379,-0.886642,0.976328
2450208.241829,1.236965,0.216886,-0.496595,1.229138
2450208.246864,0.520641,-0.095607,-0.106548,0.936276
2450208.251899,-0.195683,-0.408100,0.283500,0.643415
2450208.256933,-0.912007,-0.720593,0.673547,0.350553
2450208.261968,-1.628331,-1.033085,1.063594,0.057691
2450208.267002,-1.449450,-1.345578,1.453641,-0.235170
2450208.272037,-1.270569,-1.658071,1.843689,-0.528032
2450208.277071,-1.091687,-0.990108,1.328415,-0.820894
2450208.279542,-0.912806,-0.322146,0.813142,-1.113756
2450208.284574,-0.733925,0.345817,0.297869,-1.406617
2450208.289606,-0.555044,1.013780,-0.217404,-1.524711
2450208.294637,-0.376162,1.681742,-0.732677,-1.642804
2450208.299669,-0.197281,1.597125,-0.756312,-1.760897
2450208.304701,-0.018400,1.512508,-0.779948,-1.878990
2450208.309732,0.160481,1.427891,-0.803583,-1.997083
2450208.314764,0.339363,1.343274,-0.753271,-1.548348
2450208.319796,0.518244,1.258657,-0.702959,-1.099612
2450208.324827,0.460011,1.174040,-0.652647,-0.650876
2450208.329859,0.401778,1.089423,-0.602336,-0.202140
2450208.334891,0.343544,1.004806,-0.552024,0.246595
2450208.337091,0.285311,0.920189,-0.501712,0.559183
2450208.342119,0.227078,0.835572,-0.451400,0.871770
2450208.347148,0.168845,0.750955,-0.401088,1.184357
2450208.352176,0.110612,0.666338,-0.350776,1.496944
2450208.357204,0.052379,0.581721,-0.300465,1.809532
2450208.362233,-0.005855,0.497104,-0.250153,0.691741
2450208.367261,-0.064088,0.412487,-0.199841,-0.426050
2450208.372290,-0.122321,0.327870,-0.149529,-0.366783
2450208.377318,-0.180554,0.243253,-0.099217,-0.307515
2450208.382346,-0.238787,0.158636,-0.048906,-0.248248
2450208.387375,-0.297020,0.074019,0.001406,-0.188981
2450208.392403,-0.355253,-0.010598,0.051718,-0.129713
2450208.395429,-0.413487,-0.095215,0.102030,-0.070446
2450208.400455,-0.471720,-0.179832,0.152342,-0.011179
2450208.405481,-0.529953,-0.264449,0.202654,0.048089
2450208.410507,-0.588186,-0.349066,0.252965,0.107356
2450208.415533,-0.646419,-0.433684,0.303277,0.166623
2450208.420559,-0.704652,-0.518301,0.353589,0.225891
2450208.425585,-0.762885,-0.077463,0.180590,0.285158
2450208.430611,-0.821119,0.363374,0.007590,0.344425
2450208.432473,-0.879352,0.804211,-0.165410,0.403693
2450208.437495,-0.937585,1.245048,-0.338409,0.462960
2450208.442518,-0.995818,1.685885,-0.511409,0.522228
2450208.447540,-0.600714,1.357173,-0.684408,0.581495
2450208.452562,-0.205610,1.028462,-0.857408,0.640762
2450208.457584,0.189494,0.699750,-1.030407,0.700030
2450208.462607,0.584598,0.499031,-0.781625,0.759297
2450208.467629,0.979702,0.298312,-0.532843,0.818564
2450208.472651,1.246277,0.097593,-0.284061,0.877832
2450208.477673,1.512852,-0.103126,-0.035279,0.937099
2450208.482695,1.779426,-0.303845,0.213503,0.996366
2450208.487718,1.539941,-0.530328,0.455973,1.055634
2450208.489367,1.300456,-0.756812,0.698442,1.114901
2450208.494385,1.060971,-0.983295,0.940912,0.661634
2450208.499403,0.821486,-1.209779,1.183382,0.208367
2450208.504421,0.582001,-1.436262,1.425852,-0.244900
2450208.509439,0.334605,-1.353899,1.359313,-0.698167
2450208.514457,0.087209,-1.271536,1.292774,-1.151435
