timestamp,CH1,CH2,CH3,CH4
2449620.907401,1.214484,1.794670,1.015062,-1.932503
2449620.912195,1.214484,1.794670,1.015062,-1.932503
2449620.916989,1.214484,1.220601,1.015062,-1.932503
2449620.921783,1.214484,0.646531,1.015062,-1.932503
2449620.926577,1.214484,0.072462,1.015062,-1.932503
2449620.931370,1.214484,-0.501607,1.015062,-1.932503
2449620.936164,1.214484,-1.075676,1.015062,-1.932503
2449620.940958,1.214484,-1.226491,1.153049,-1.932503
2449620.945752,1.214484,-1.377306,1.291035,-1.932503
2449620.950546,1.214484,-1.528121,1.429022,-1.932503
2449620.955340,1.214484,-1.678935,1.567009,-1.932503
2449620.960133,1.214484,-1.829750,1.704996,-1.932503
2449620.968685,1.214484,-1.799387,1.751656,-1.932503
2449620.973484,1.214484,-1.769025,1.798316,-1.932503
2449620.978284,1.214484,-1.738662,1.844976,-1.932503
2449620.983083,1.214484,-1.708299,1.891636,-1.932503
2449620.987882,1.214484,-1.677937,1.938296,-1.932503
2449620.992681,0.868135,-1.647574,1.280786,-1.932503
2449620.997480,0.521787,-1.562761,1.235578,-1.932503
2449621.002279,0.175439,-1.477947,1.190370,-1.932503
2449621.007078,-0.170910,-1.393134,1.145162,-1.932503
2449621.011877,-0.517258,-1.308320,1.099954,-1.932503
2449621.016677,-0.863606,-1.223507,1.054746,-1.932503
2449621.021476,-0.629571,-1.138693,1.009538,-1.932503
2449621.030044,-0.395536,-1.053880,0.964330,-1.932503
2449621.034848,-0.161502,-0.969067,0.919122,-1.932503
2449621.039653,0.072533,-0.884253,0.873913,-1.932503
2449621.044457,0.306568,-0.799440,0.828705,-1.932503
2449621.049262,0.376763,-0.477639,0.496437,-1.932503
2449621.054066,0.646314,-0.155839,0.164169,-1.932503
2449621.058870,0.915864,0.165961,-0.168099,-1.932503
2449621.063675,1.185415,0.487761,-0.500367,-1.932503
2449621.068479,1.454966,0.809562,-0.832635,-1.932503
2449621.073284,-0.837817,0.833303,-0.878318,-1.808083
2449621.078088,-1.003525,0.857044,-0.924002,-1.683664
2449621.082893,-1.169233,0.880786,-0.969685,-1.559245
2449621.091471,-1.334941,0.904527,-1.015369,-1.434826
2449621.096281,-1.500649,0.928269,-1.061052,-1.310406
2449621.101091,-1.666357,0.952010,-1.106735,-1.397716
2449621.105901,-1.483025,0.975752,-1.152419,-1.485025
2449621.110711,-1.299694,0.999493,-1.198102,-1.572334
2449621.115521,-1.116362,1.023234,-1.243785,-1.659644
2449621.120331,-0.933031,1.046976,-1.289469,-1.746953
2449621.125140,-0.749699,1.070717,-1.335152,-0.780207
2449621.129950,-0.566368,1.094459,-1.380835,-0.476082
2449621.134760,-0.383036,0.586811,-0.861522,-0.171956
2449621.139570,-0.199705,0.079164,-0.342209,0.132169
2449621.144380,-0.016373,-0.428484,0.177104,0.436295
2449621.152917,0.166958,-0.936132,0.696417,0.740420
2449621.157732,0.350289,-1.443779,1.215730,0.775528
2449621.162548,0.533621,-1.406150,1.166290,0.810635
2449621.167363,0.716952,-1.368520,1.116851,0.845742
2449621.172178,0.900284,-1.330891,1.067411,0.880850
2449621.176993,1.083615,-1.293261,1.017972,0.915957
2449621.181809,1.266947,-1.255632,0.968532,0.951064
2449621.186624,0.927259,-1.218002,0.919093,0.986172
2449621.191439,0.587572,-1.180373,0.869653,1.021279
2449621.196254,0.247884,-1.142743,0.820214,1.056387
2449621.201069,-0.091803,-1.105113,0.770774,1.091494
2449621.205885,-0.431491,-1.067484,0.721335,1.126601
2449621.211934,-0.279760,-1.029854,0.671895,1.161709
2449621.216751,-0.128030,-0.992225,0.622455,1.196816
2449621.221568,0.023701,-0.954595,0.573016,1.231923
2449621.226385,0.175432,-0.916966,0.523576,1.267031
2449621.234982,0.608478,-1.051468,0.692911,1.302138
2449621.239805,1.041525,-1.185970,0.862246,1.337246
2449621.244627,1.474572,-1.320472,1.031581,1.372353
2449621.249450,1.907619,-1.454974,1.200916,1.407460
2449621.254272,1.602716,-1.589476,1.370251,1.288615
2449621.259095,1.297813,-1.723978,1.539585,1.169769
2449621.263917,0.992910,-1.622337,1.439735,1.050924
2449621.268739,0.688007,-1.520697,1.339884,0.932078
2449621.273562,0.383104,-1.419057,1.240033,0.813232
2449621.278384,0.078201,-1.317416,1.140182,0.597632
2449621.283207,-0.226702,-1.215776,1.040331,0.382031
2449621.288029,-0.231437,-1.114135,0.940481,0.166430
2449621.294118,-0.236172,-1.012495,0.840630,-0.049170
2449621.298942,-0.240907,-0.910854,0.740779,-0.264771
2449621.303766,-0.245642,-0.809214,0.640928,-0.483861
2449621.308591,-0.250377,-0.707574,0.541077,-0.702951
2449621.317246,-0.255112,-0.605933,0.441226,-0.922040
2449621.322076,-0.259847,-0.504293,0.341376,-1.141130
2449621.326906,-0.264582,-0.402652,0.241525,-1.360220
2449621.331736,-0.269317,-0.301012,0.141674,-1.182446
2449621.336565,-0.274052,-0.199371,0.041823,-1.004673
2449621.341395,-0.278787,-0.097731,-0.058028,-0.525884
2449621.346225,-0.283522,0.003909,-0.157879,-0.047096
2449621.351055,-0.288257,0.105550,-0.257729,0.431693
2449621.355885,-0.292992,0.207190,-0.357580,0.910481
2449621.360715,-0.297727,0.308831,-0.457431,1.389270
2449621.365545,-0.302462,0.410471,-0.557282,1.361370
2449621.370375,-0.307197,0.512112,-0.657133,1.333470
2449621.377723,-0.311932,0.613752,-0.756983,1.305571
2449621.382557,-0.316667,0.715393,-0.856834,1.277671
2449621.387390,-0.321402,0.817033,-0.956685,1.249771
2449621.392224,-0.326137,0.918673,-1.056536,1.221871
2449621.397057,-0.330872,1.091813,-1.090271,1.193972
2449621.401891,-0.335607,1.264953,-1.124006,1.166072
2449621.406725,-0.340342,1.438093,-1.157741,1.138172
2449621.411558,-0.711293,-1.236331,1.194756,1.110272
2449621.420246,-1.082244,-0.530349,-0.003535,1.082373
2449621.425085,-1.164828,-0.364248,-0.141453,1.054473
2449621.429924,-1.247413,-0.198147,-0.279372,1.026573
2449621.434763,-1.329997,-0.032047,-0.417290,0.998674
2449621.439603,-0.462217,0.134054,-0.555208,0.970774
2449621.444442,0.405564,0.300155,-0.693127,0.942874
2449621.449281,1.273345,0.466256,-0.831045,0.914974
2449621.454120,1.243268,0.632356,-0.968963,0.887075
2449621.458960,1.213192,0.798457,-1.106882,0.859175
2449621.463799,1.183116,0.964558,-1.244800,1.008106
2449621.468638,1.153039,1.130659,-1.382718,1.157038
2449621.473477,1.122963,1.296760,-1.520637,1.305969
2449621.480901,1.092887,1.462860,-1.658555,1.137278
2449621.485744,1.062810,1.628961,-1.796473,0.968586
2449621.490587,1.032734,1.795062,-1.934392,0.799895
2449621.495430,1.002658,1.512116,-1.629075,0.631204
2449621.500273,0.972581,1.229170,-1.323759,0.462512
2449621.505116,0.942505,0.946224,-1.018443,0.296766
2449621.509959,0.912429,0.663278,-0.713126,0.131020
2449621.514802,0.882352,0.380332,-0.407810,-0.034726
2449621.523525,0.852276,0.043835,-0.077327,-0.200473
2449621.528374,0.822200,-0.292662,0.253155,-0.366219
2449621.533222,0.792123,-0.629159,0.583638,-0.616598
2449621.538071,0.762047,-0.965656,0.914121,-0.866978
2449621.542920,0.731971,-1.302153,1.244603,-1.117357
2449621.547769,0.206300,-1.218410,1.238572,-1.367737
2449621.552617,-0.319371,-1.134668,1.232541,-1.618116
2449621.557466,-0.845042,-1.050925,1.226510,-1.421872
2449621.562315,-1.370712,-0.967182,1.220480,-1.225628
2449621.567163,-1.896383,-0.883440,1.214449,-1.029384
2449621.572012,-1.900895,-0.799697,1.208418,-0.833139
2449621.576861,-1.905408,-0.715954,1.202387,-0.636895
2449621.582998,-1.909920,-0.632212,1.196356,-0.440651
2449621.587849,-1.914432,-0.542529,1.031086,-0.244407
2449621.592700,-1.918944,-0.452846,0.865816,-0.048163
2449621.597550,-1.923457,-0.363163,0.700547,0.148081
2449621.606319,-1.927969,-0.273480,0.535277,0.344326
2449621.611175,-1.932481,-0.183797,0.370007,0.540570
2449621.616032,-1.936993,-0.094114,0.204738,0.736814
2449621.620888,-1.941506,-0.004431,0.039468,0.933058
2449621.625745,-1.946018,0.085251,-0.125802,1.129302
2449621.630601,-1.950530,0.174934,-0.291072,1.145748
2449621.635457,-1.955042,0.264617,-0.456341,1.162194
2449621.640314,-1.959555,0.354300,-0.621611,1.178640
2449621.645170,-1.559611,0.853609,-0.533722,1.195086
2449621.650027,-1.159667,1.352917,-0.445834,1.211531
2449621.654883,-0.759723,1.852226,-0.357945,1.227977
2449621.659740,-0.359779,1.433442,-0.270057,1.244423
2449621.668514,0.040165,1.014658,-0.182168,1.260869
2449621.673376,0.622307,0.595874,-0.094280,1.277315
2449621.678238,1.204448,0.177090,-0.006391,1.293761
2449621.683101,1.786590,-0.241694,0.081498,1.310206
