timestamp,CH1,CH2,CH3,CH4
2447781.338160,-1.911265,-0.239007,0.355707,1.133008
2447781.342969,-1.860801,-0.461825,0.598698,1.133008
2447781.347777,-1.810337,-0.684642,0.841689,1.133008
2447781.352586,-1.363781,-0.907460,1.084680,1.133008
2447781.357208,-0.917225,-1.130277,1.327672,1.133008
2447781.362016,-0.470668,-1.353095,1.570663,1.133008
2447781.366824,-0.024112,-1.154359,1.388362,1.133008
2447781.371631,0.422444,-0.955622,1.206062,1.133008
2447781.376439,0.284932,-0.756886,1.023761,1.133008
2447781.381247,0.147421,-0.558150,0.841460,1.133008
2447781.386055,0.009909,-0.359414,0.659160,1.133008
2447781.390863,-0.127603,-0.160678,0.476859,1.133008
2447781.395671,-0.265115,0.038059,0.294559,1.133008
2447781.400478,-0.402627,0.236795,0.112258,1.133008
2447781.405286,-0.540139,0.435531,-0.070043,1.133008
2447781.410094,-0.677651,0.634267,-0.252343,1.133008
2447781.414767,-0.815163,0.833003,-0.434644,1.133008
2447781.419574,-0.952674,1.031739,-0.616944,1.133008
2447781.424382,-1.090186,1.230476,-0.799245,1.133008
2447781.429189,-1.227698,0.823984,-0.574582,1.133008
2447781.433996,-1.365210,0.417493,-0.349919,1.133008
2447781.438803,-1.502722,0.011002,-0.125256,1.133008
2447781.443610,-0.413426,-0.084323,-0.407891,1.133008
2447781.448417,0.675869,-0.179647,-0.690527,1.070604
2447781.453224,1.765165,-0.274972,-0.973162,1.008200
2447781.458031,1.367852,-0.370297,-1.255798,0.945796
2447781.462838,0.970539,-0.465621,-1.538433,0.883392
2447781.467645,0.573226,-0.560946,-1.821069,0.820989
2447781.472366,0.175913,-0.656270,-2.103704,0.758585
2447781.477173,-0.850580,-0.751595,-1.447853,0.696181
2447781.481979,-1.877072,-0.846919,-0.792001,0.633777
2447781.486785,-1.118505,-0.942244,-0.136150,0.571373
2447781.491592,-0.359939,-1.037569,0.519702,0.508969
2447781.496398,0.398627,-1.132893,1.175553,0.446566
2447781.501204,1.157193,-1.113475,1.179738,0.384162
2447781.506011,1.915759,-1.094057,1.183923,0.017607
2447781.510817,1.825784,-1.074639,1.188108,-0.348947
2447781.515623,1.735809,-1.055221,1.192293,-0.715501
2447781.520430,1.645834,-1.035803,1.196478,-1.082055
2447781.525236,1.555859,-1.016385,1.200663,-1.448610
2447781.530017,1.465883,-0.996967,1.204848,-1.320776
2447781.534822,1.375908,-0.977549,1.209033,-1.192942
2447781.539628,1.285933,-0.958131,1.213218,-1.065108
2447781.544434,1.195958,-0.938713,1.217403,-0.937275
2447781.549240,1.105983,-0.919294,1.221588,-0.809441
2447781.554046,1.016007,-0.899876,1.225773,-0.681607
2447781.558851,0.926032,-0.880458,1.229958,-0.553773
2447781.563657,0.836057,-0.861040,1.234143,-0.425940
2447781.568463,0.746082,-0.841622,1.238328,-0.298106
2447781.573269,0.656107,-0.822204,1.242513,-0.170272
2447781.578075,0.566132,-0.802786,1.246698,-0.042438
2447781.582880,0.476156,-0.783368,1.250883,0.085396
2447781.587656,0.386181,-0.395066,0.818100,0.213229
2447781.592461,0.296206,-0.006764,0.385317,0.341063
2447781.597266,0.206231,0.381537,-0.047466,0.468897
2447781.602072,0.116256,0.769839,-0.480248,0.596731
2447781.606877,0.026280,1.158141,-0.913031,0.553698
2447781.611682,-0.063695,0.940293,-0.778951,0.510665
2447781.616487,-0.153670,0.722445,-0.644870,0.467632
2447781.621293,-0.243645,0.504598,-0.510789,0.424599
2447781.626098,-0.333620,0.286750,-0.376709,0.381566
2447781.630903,-0.423596,0.068902,-0.242628,0.338533
2447781.635708,-0.217359,-0.148946,-0.108548,0.295501
2447781.640514,-0.011123,-0.366794,0.025533,0.252468
