timestamp,CH1,CH2,CH3,CH4
2448443.722123,1.522384,1.032243,-1.240920,-2.027812
2448443.726883,1.522384,1.032243,-1.240920,-2.027812
2448443.731642,1.522384,1.032243,-1.240920,-2.027812
2448443.736401,1.522384,1.032243,-1.240920,-2.027812
2448443.741161,1.522384,1.032243,-1.240920,-2.027812
2448443.745920,1.522384,1.032243,-1.240920,-2.027812
2448443.750679,1.522384,1.032243,-1.240920,-2.027812
2448443.755439,1.522384,1.032243,-1.240920,-2.027812
2448443.760198,1.522384,1.032243,-1.240920,-2.027812
2448443.764957,1.522384,1.032243,-1.240920,-2.027812
2448443.769717,1.522384,1.032243,-1.240920,-2.027812
2448443.774476,1.522384,1.032243,-1.240920,-2.027812
2448443.779299,1.522384,1.032243,-1.240920,-2.027812
2448443.784058,1.522384,1.032243,-1.240920,-2.027812
2448443.788816,1.522384,1.032243,-1.240920,-2.027812
2448443.793575,1.522384,1.032243,-1.240920,-2.027812
2448443.798334,1.522384,1.032243,-1.240920,-1.751621
2448443.803093,1.522384,1.032243,-1.240920,-1.475430
2448443.807851,1.522384,1.032243,-1.240920,-1.199239
2448443.812610,1.522384,1.032243,-1.240920,-0.923048
2448443.817369,1.522384,1.032243,-1.240920,-0.646857
2448443.822128,1.522384,1.032243,-1.240920,-0.457556
2448443.826886,1.522384,1.032243,-1.240920,-0.268256
2448443.831645,1.522384,1.032243,-1.240920,-0.078955
2448443.836534,1.522384,1.032243,-1.240920,0.110346
2448443.841292,1.522384,1.032243,-1.240920,0.299647
2448443.846051,1.522384,1.032243,-1.240920,0.401516
2448443.850809,1.522384,1.032243,-1.240920,0.503385
2448443.855567,1.522384,1.032243,-1.240920,0.605254
2448443.860325,1.522384,1.032243,-1.240920,0.707123
2448443.865084,1.522384,1.032243,-1.240920,0.808992
2448443.869842,1.522384,1.032243,-1.240920,0.912684
2448443.874600,1.522384,1.032243,-1.240920,1.016376
2448443.879359,1.522384,1.032243,-1.240920,1.120069
2448443.884117,1.522384,1.032243,-1.240920,1.223761
2448443.888875,1.522384,1.032243,-1.240920,1.327453
2448443.893808,1.522384,1.032243,-1.240920,1.456757
2448443.898565,1.231203,0.770990,-1.035915,1.586061
2448443.903323,0.940023,0.509738,-0.830911,1.715365
2448443.908081,0.648842,0.248486,-0.625906,1.844669
2448443.912839,0.357662,-0.012767,-0.420902,1.973972
2448443.917597,0.066481,-0.274019,-0.215897,-0.080124
2448443.922355,-0.130678,-0.512495,-0.156625,0.061536
2448443.927113,-0.327837,-0.750970,-0.097352,0.203195
2448443.931870,-0.524997,-0.989446,-0.038080,0.344855
2448443.936628,-0.722156,-1.227921,0.021192,0.486515
2448443.941386,-0.919316,-1.466397,0.080465,0.628175
2448443.946144,-1.081626,-0.809093,0.030069,0.769835
2448443.951012,-1.243936,-0.151790,-0.020327,0.911494
2448443.955769,-1.406247,0.505513,-0.070724,1.053154
2448443.960527,-1.568557,1.162817,-0.121120,1.194814
2448443.965284,-1.730868,1.820120,-0.171516,0.953122
2448443.970042,-1.548283,1.083550,-0.221912,0.711430
2448443.974799,-1.365699,0.346980,-0.272308,0.469737
2448443.979556,-1.183114,-0.389590,-0.322704,0.228045
2448443.984314,-1.000530,-1.126160,-0.373100,-0.013647
2448443.989071,-0.817946,-1.862730,-0.423496,-0.325023
2448443.993828,-0.635361,0.706163,-0.473892,-0.636400
2448443.998586,-0.452777,0.551571,-0.036449,-0.947776
2448444.003343,-0.270193,0.396979,0.400994,-1.259153
2448444.008166,-0.087608,0.242387,0.838437,-1.570529
2448444.012922,0.094976,0.087795,1.275879,-1.583132
2448444.017679,0.277560,-0.066797,1.713322,-1.595734
2448444.022436,0.180926,-0.221389,1.696527,-1.608336
2448444.027193,0.084291,-0.375981,1.679732,-1.620938
2448444.031950,-0.012344,-0.530573,1.662937,-1.633541
2448444.036707,-0.108979,-0.685165,1.646142,-1.646143
2448444.041464,-0.205613,-0.839757,1.629347,-1.658745
2448444.046221,-0.302248,-0.994349,1.612552,-1.086905
2448444.050977,-0.398883,-1.148941,1.595757,-0.515065
2448444.055734,-0.495518,-1.303533,1.578962,0.056775
2448444.060491,-0.592152,-1.458125,1.562167,0.628615
2448444.065382,-0.688787,-1.205292,1.346303,1.200455
2448444.070139,-0.785422,-0.952458,1.130439,1.114107
2448444.074895,-0.882057,-0.699625,0.914575,1.027759
2448444.079652,-0.978691,-0.446791,0.698712,0.941411
2448444.084408,-1.075326,-0.193957,0.482848,0.855063
2448444.089165,-1.171961,0.106878,0.288666,0.768715
2448444.093921,-1.268596,0.407714,0.094484,0.682367
2448444.098678,-1.365231,0.708550,-0.099698,0.596019
2448444.103434,-1.461865,1.009385,-0.293880,0.509670
2448444.108190,-1.558500,1.310221,-0.488062,0.423322
2448444.112947,-1.262608,1.355852,-1.062851,0.336974
2448444.117703,-0.966715,1.401483,-1.637639,0.250626
2448444.131090,-0.670823,0.799147,-1.073548,0.164278
2448444.127292,-0.374931,0.196811,-0.509457,0.077930
2448444.132048,-0.079038,-0.405526,0.054634,-0.008418
2448444.136804,0.762072,-1.007862,0.618725,-0.094766
2448444.141560,1.603182,-1.610198,1.182816,-0.181114
2448444.146316,1.558891,-1.547978,1.128239,-0.267462
2448444.151072,1.514600,-1.485758,1.073661,-0.353810
2448444.155828,1.470310,-1.423538,1.019084,-0.440158
2448444.160584,0.016872,-1.361319,0.964507,-0.526506
2448444.165340,-1.436566,-1.299099,0.909929,-0.612854
2448444.170096,-1.362577,-1.236879,0.855352,-0.699202
