timestamp,CH1_mean,CH1_std,CH1_var,CH1_skew,CH1_kurtosis,CH1_ptp,CH1_zcr,CH1_hjorth_activity,CH1_hjorth_mobility,CH1_hjorth_complexity,CH1_delta_power,CH1_theta_power,CH1_alpha_power,CH1_beta_power,CH1_gamma_power,CH1_delta_rel,CH1_theta_rel,CH1_alpha_rel,CH1_beta_rel,CH1_gamma_rel,CH1_total_power,CH1_spectral_entropy,CH2_mean,CH2_std,CH2_var,CH2_skew,CH2_kurtosis,CH2_ptp,CH2_zcr,CH2_hjorth_activity,CH2_hjorth_mobility,CH2_hjorth_complexity,CH2_delta_power,CH2_theta_power,CH2_alpha_power,CH2_beta_power,CH2_gamma_power,CH2_delta_rel,CH2_theta_rel,CH2_alpha_rel,CH2_beta_rel,CH2_gamma_rel,CH2_total_power,CH2_spectral_entropy,CH3_mean,CH3_std,CH3_var,CH3_skew,CH3_kurtosis,CH3_ptp,CH3_zcr,CH3_hjorth_activity,CH3_hjorth_mobility,CH3_hjorth_complexity,CH3_delta_power,CH3_theta_power,CH3_alpha_power,CH3_beta_power,CH3_gamma_power,CH3_delta_rel,CH3_theta_rel,CH3_alpha_rel,CH3_beta_rel,CH3_gamma_rel,CH3_total_power,CH3_spectral_entropy,CH4_mean,CH4_std,CH4_var,CH4_skew,CH4_kurtosis,CH4_ptp,CH4_zcr,CH4_hjorth_activity,CH4_hjorth_mobility,CH4_hjorth_complexity,CH4_delta_power,CH4_theta_power,CH4_alpha_power,CH4_beta_power,CH4_gamma_power,CH4_delta_rel,CH4_theta_rel,CH4_alpha_rel,CH4_beta_rel,CH4_gamma_rel,CH4_total_power,CH4_spectral_entropy
2252960.590380,-0.345818,0.922158,0.850374,0.318116,-0.478682,3.825066,0.058594,0.850374,0.214160,3.148472,0.343642,0.478755,0.238255,0.060630,0.008340,0.304210,0.423819,0.210916,0.053673,0.007383,1.129623,3.520214,-0.283361,0.956655,0.915190,0.372349,-0.544320,4.020225,0.058594,0.915190,0.234509,3.047290,0.321727,0.468473,0.233226,0.059957,0.008793,0.294575,0.428935,0.213543,0.054896,0.008051,1.092176,3.524110,-0.182387,0.923427,0.852717,0.490685,-0.661739,3.752878,0.066406,0.852717,0.294404,3.421857,0.222356,0.165406,0.269817,0.116782,0.011550,0.282928,0.210463,0.343317,0.148595,0.014697,0.785911,4.072593,0.049147,1.023670,1.047901,-0.277476,-0.964496,3.713446,0.046875,1.047901,0.214052,3.435840,0.112896,0.349725,0.275124,0.070221,0.007764,0.138399,0.428726,0.337273,0.086084,0.009518,0.815731,3.830611
2252961.724072,-0.036066,1.095049,1.199133,0.037687,-1.291197,3.930644,0.050781,1.199133,0.193148,2.987751,0.141755,0.867034,0.152164,0.099375,0.003576,0.112157,0.685996,0.120392,0.078626,0.002829,1.263904,2.958741,-0.026975,1.070917,1.146863,0.034267,-1.288341,3.849997,0.050781,1.146863,0.193450,2.984810,0.136882,0.834198,0.145620,0.096246,0.003418,0.112534,0.685813,0.119718,0.079126,0.002810,1.216363,2.963459,0.008312,1.080796,1.168119,-0.006849,-1.154433,4.085853,0.066406,1.168119,0.247245,2.882291,0.039343,0.661757,0.155990,0.073399,0.007868,0.041927,0.705230,0.166237,0.078221,0.008384,0.938357,2.981484,-0.019013,0.978647,0.957749,0.056315,-0.880195,3.903314,0.062500,0.957749,0.231927,2.520791,0.077011,1.020175,0.160795,0.085875,0.004213,0.057127,0.756768,0.119278,0.063702,0.003125,1.348068,2.726101
2252962.878221,0.118528,0.779046,0.606912,-0.469902,-0.689933,3.390815,0.085938,0.606912,0.446368,3.337238,0.077441,0.127992,0.263728,0.068439,0.005565,0.142574,0.235640,0.485539,0.126000,0.010246,0.543165,3.927568,0.032358,0.829356,0.687831,-0.399166,-0.827075,3.425595,0.085938,0.687831,0.425309,3.405058,0.082380,0.124463,0.301150,0.068866,0.005985,0.141342,0.213544,0.516690,0.118156,0.010269,0.582844,3.840398,0.149133,0.856948,0.734359,0.014610,-1.069248,3.630456,0.070312,0.734359,0.266175,2.457884,0.136840,0.093246,0.275084,0.076123,0.003441,0.234021,0.159467,0.470443,0.130184,0.005885,0.584734,3.923394,-0.208070,0.981876,0.964081,-0.195953,-1.360208,3.481700,0.066406,0.964081,0.316135,3.354031,0.495000,0.216196,0.239129,0.089423,0.038750,0.458971,0.200460,0.221724,0.082914,0.035930,1.078498,3.899399
2252964.048789,-0.182385,1.007576,1.015209,-0.056070,-1.106131,3.731108,0.054688,1.015209,0.197246,3.051514,0.397110,0.432408,0.271111,0.056236,0.003989,0.342085,0.372492,0.233544,0.048443,0.003436,1.160854,3.720386,-0.168493,0.986021,0.972237,-0.049096,-1.103782,3.683661,0.054688,0.972237,0.197084,3.057024,0.381484,0.414407,0.259425,0.053241,0.003865,0.342931,0.372527,0.233207,0.047861,0.003474,1.112422,3.717208,0.146189,1.170456,1.369967,-0.406869,-1.155404,4.113187,0.054688,1.369967,0.195924,3.184902,0.335207,0.807169,0.205733,0.051697,0.005491,0.238531,0.574376,0.146398,0.036787,0.003907,1.405297,3.230074,-0.025894,0.988725,0.977576,-0.383573,-0.994303,3.854703,0.066406,0.977576,0.258175,2.592607,0.127293,0.558946,0.330775,0.056620,0.005121,0.118000,0.518140,0.306627,0.052486,0.004747,1.078755,3.579417
2252965.312229,-0.071551,1.139681,1.298872,0.107103,-1.369211,4.096433,0.062500,1.298872,0.237425,2.627252,0.045846,0.578881,0.542775,0.153786,0.010263,0.034430,0.434742,0.407627,0.115494,0.007708,1.331551,3.277716,-0.030786,1.150908,1.324589,0.141185,-1.366341,4.013081,0.062500,1.324589,0.232702,2.639520,0.040768,0.561693,0.525097,0.150269,0.009801,0.031662,0.436223,0.407802,0.116702,0.007612,1.287629,3.261900,-0.053282,0.943971,0.891080,-0.044910,-0.676285,4.010522,0.046875,0.891080,0.224413,2.958427,0.139800,0.326112,0.162539,0.083332,0.007753,0.194292,0.453226,0.225894,0.115813,0.010775,0.719536,3.904012,-0.015101,1.012361,1.024875,-0.114075,-1.077985,4.029503,0.062500,1.024875,0.221468,2.752676,0.101983,0.640030,0.343513,0.029159,0.004569,0.091117,0.571836,0.306912,0.026052,0.004082,1.119254,2.778900
2252966.594354,0.165574,0.941394,0.886222,-0.399483,-0.954713,3.874765,0.058594,0.886222,0.231285,2.681512,0.075627,0.461853,0.408323,0.059796,0.007979,0.074614,0.455666,0.402853,0.058995,0.007872,1.013578,3.094982,0.170074,0.921576,0.849302,-0.409416,-0.954261,3.798560,0.058594,0.849302,0.230896,2.681465,0.072640,0.446012,0.390584,0.057002,0.007611,0.074591,0.457989,0.401073,0.058532,0.007815,0.973848,3.089292,-0.018652,0.894385,0.799924,-0.132648,-1.020829,4.061205,0.035156,0.799924,0.186341,3.248814,0.236638,0.096144,0.075221,0.035062,0.001826,0.531901,0.216108,0.169077,0.078811,0.004103,0.444891,3.451426,0.245670,0.864392,0.747174,-0.134418,-0.982982,3.818136,0.050781,0.747174,0.242118,2.681378,0.042760,0.325556,0.334590,0.087994,0.007312,0.053569,0.407856,0.419174,0.110239,0.009161,0.798213,3.072379
2252967.917360,0.060418,0.995200,0.990424,0.115790,-1.046156,4.107605,0.062500,0.990424,0.227293,2.993941,0.155538,0.458003,0.158486,0.139013,0.009942,0.168883,0.497298,0.172084,0.150940,0.010795,0.920983,3.771100,0.069183,0.973657,0.948008,0.111359,-1.045640,4.032258,0.062500,0.948008,0.227741,2.986392,0.146487,0.438344,0.154019,0.134616,0.009285,0.165944,0.496566,0.174476,0.152496,0.010518,0.882751,3.773593,-0.050385,1.004107,1.008230,0.179931,-0.935315,4.101542,0.050781,1.008230,0.199810,2.667781,0.171709,0.404452,0.197598,0.023841,0.002915,0.214498,0.505240,0.246839,0.029782,0.003641,0.800515,3.232425,-0.213367,0.997637,0.995279,0.108380,-1.343041,3.781233,0.046875,0.995279,0.243007,2.896935,0.075790,0.452951,0.315951,0.076508,0.007686,0.081592,0.487629,0.340140,0.082365,0.008274,0.928885,3.435093
2252969.226075,-0.096674,0.970809,0.942471,0.060727,-0.945770,3.876752,0.066406,0.942471,0.243003,3.086768,0.075697,0.242041,0.422375,0.060587,0.007485,0.093663,0.299487,0.522622,0.074967,0.009261,0.808185,3.388800,-0.083844,0.947729,0.898191,0.058163,-0.943616,3.788747,0.066406,0.898191,0.242918,3.086424,0.073782,0.230374,0.398720,0.058597,0.007097,0.096000,0.299744,0.518781,0.076241,0.009234,0.768570,3.395872,0.335840,1.131328,1.279903,-0.131415,-1.269862,4.143183,0.058594,1.279903,0.241336,3.034843,0.194561,0.382401,0.473535,0.189072,0.016934,0.154843,0.304338,0.376867,0.150475,0.013477,1.256502,3.708602,0.271129,1.010271,1.020648,-0.261108,-1.151622,3.882848,0.066406,1.020648,0.251861,2.561930,0.142844,0.266648,0.528207,0.093879,0.005940,0.137679,0.257006,0.509107,0.090484,0.005725,1.037518,3.126135
2252970.444617,0.188413,0.931801,0.868253,0.134614,-1.033913,4.005824,0.054688,0.868253,0.224148,3.184964,0.228990,0.362618,0.209598,0.092999,0.012000,0.252691,0.400150,0.231292,0.102624,0.013243,0.906206,3.834892,0.112455,1.015438,1.031114,-0.113606,-0.957030,3.913334,0.054688,1.031114,0.205059,3.419231,0.226929,0.341771,0.199642,0.086877,0.011111,0.261942,0.394504,0.230445,0.100282,0.012826,0.866330,3.845457,-0.250187,0.901680,0.813027,0.352323,-0.917532,3.905807,0.062500,0.813027,0.257142,2.558140,0.085846,0.157232,0.336502,0.088128,0.003414,0.127914,0.234283,0.501402,0.131314,0.005087,0.671122,3.715891,-0.301287,0.993116,0.986279,0.620196,-0.674229,3.823499,0.074219,0.986279,0.247619,2.818837,0.197986,0.182747,0.268707,0.149361,0.008368,0.245285,0.226404,0.332901,0.185043,0.010367,0.807169,4.226073
2252971.690103,0.199561,1.024288,1.049166,-0.119929,-0.982427,3.933237,0.050781,1.049166,0.279903,3.253838,0.533586,0.484408,0.081439,0.170690,0.011826,0.416230,0.377868,0.063527,0.133149,0.009225,1.281949,3.651217,0.209389,1.007041,1.014132,-0.153153,-1.001689,3.890476,0.050781,1.014132,0.277692,3.267961,0.509563,0.461189,0.077761,0.160449,0.011372,0.417561,0.377921,0.063721,0.131480,0.009318,1.220334,3.639692,-0.084580,0.901975,0.813558,0.474699,-1.026240,3.524514,0.054688,0.813558,0.285334,3.241193,0.424368,0.213527,0.085894,0.086592,0.011403,0.516398,0.259834,0.104521,0.105371,0.013876,0.821785,3.691478,0.216785,0.954151,0.910404,-0.073859,-1.017434,4.016538,0.058594,0.910404,0.284377,2.817718,0.218734,0.071246,0.112547,0.251862,0.009263,0.329592,0.107354,0.169588,0.379509,0.013958,0.663652,4.020509
