timestamp,attention_score,engagement_index,theta_alpha_ratio,level
2451581.733434,0.077145,0.165024,1.573134,0.000000
2451582.961215,0.071362,0.136050,2.232382,0.000000
2451584.136721,0.069916,0.127916,2.668206,0.000000
2451585.310087,0.069907,0.127871,2.562522,0.000000
2451586.488839,0.073927,0.150044,1.935395,0.000000
2451587.681019,0.073678,0.149142,2.232520,0.000000
2451588.845147,0.077817,0.170909,1.664539,0.000000
2451590.054789,0.089954,0.222121,1.227301,0.000000
2451591.325379,0.088634,0.215356,1.234563,0.000000
2451592.624169,0.086653,0.205229,1.311498,0.000000
2451593.895924,0.079459,0.173635,1.128639,0.000000
2451595.084213,0.076842,0.160606,0.980587,0.000000
2451596.260985,0.065193,0.112234,1.595129,0.000000
2451597.470011,0.069988,0.134444,1.638940,0.000000
2451598.714751,0.076111,0.162301,2.317084,0.000000
2451599.987934,0.082406,0.190561,2.367760,0.000000
2451601.223855,0.081572,0.185899,2.626052,0.000000
2451602.458864,0.081009,0.182605,2.257952,0.000000
2451603.695674,0.078181,0.170273,2.303618,0.000000
2451604.922916,0.070749,0.134907,1.756522,0.000000
2451606.170382,0.064867,0.108849,1.950236,0.000000
2451607.415416,0.064597,0.107278,2.293307,0.000000
2451608.677391,0.064408,0.106139,2.180981,0.000000
2451609.925575,0.071398,0.133790,2.227826,0.000000
2451611.170884,0.072035,0.137537,2.282931,0.000000
2451612.456087,0.075989,0.155952,2.338720,0.000000
2451613.730154,0.085522,0.198263,1.730224,0.000000
2451614.974958,0.090739,0.224767,1.514903,0.000000
2451616.173470,0.080167,0.178057,1.732371,0.000000
2451617.374397,0.079043,0.171317,2.457610,0.000000
2451618.618789,0.073549,0.144365,2.281785,0.000000
2451619.860346,0.070176,0.131789,2.187159,0.000000
2451621.088589,0.070204,0.131910,2.451644,0.000000
2451622.281831,0.070131,0.131468,2.407298,0.000000
2451623.467400,0.075373,0.158826,1.381116,0.000000
2451624.654961,0.078365,0.174640,1.229619,0.000000
2451625.849641,0.088782,0.208726,1.312024,0.000000
2451627.072754,0.084354,0.186902,1.511131,0.000000
2451628.333977,0.084882,0.190043,1.836532,0.000000
2451629.597524,0.080132,0.165710,2.160338,0.000000
2451630.801122,0.076161,0.143923,2.560215,0.000000
2451631.905829,0.060999,0.087999,2.535168,0.000000
2451632.966940,0.062889,0.098069,2.326402,0.000000
2451634.069531,0.061229,0.087713,2.585346,0.000000
2451635.253492,0.063726,0.101444,2.295633,0.000000
2451636.485973,0.065155,0.110020,1.841679,0.000000
2451637.709647,0.064659,0.107337,1.976366,0.000000
2451638.876294,0.064318,0.105618,2.112103,0.000000
2451640.022186,0.068467,0.129263,2.122210,0.000000
2451641.208370,0.065317,0.111487,2.431867,0.000000
2451642.452476,0.066914,0.120046,2.511569,0.000000
2451643.729989,0.072773,0.147015,2.380411,0.000000
2451644.985821,0.070887,0.136727,2.528639,0.000000
2451646.231945,0.067288,0.116671,1.611198,0.000000
2451647.480211,0.099683,0.220264,1.294322,0.000000
2451648.723723,0.103106,0.235958,1.317412,0.000000
2451649.976198,0.097969,0.212860,1.918744,0.000000
2451651.202000,0.112389,0.270340,1.503110,0.000000
2451652.445237,0.117738,0.298542,1.451759,0.000000
2451653.742640,0.089332,0.216840,1.492825,0.000000
