timestamp,attention_score,engagement_index,theta_alpha_ratio,level
2451728.919914,0.067826,0.122796,2.077006,0.000000
2451730.166955,0.063726,0.102683,1.809435,0.000000
2451731.364285,0.060187,0.082989,2.370856,0.000000
2451732.570208,0.060792,0.086138,2.144112,0.000000
2451733.816748,0.073104,0.138455,1.901949,0.000000
2451735.095167,0.080883,0.176499,1.254522,0.000000
2451736.386893,0.084821,0.195908,1.508450,0.000000
2451737.652444,0.099620,0.257795,0.905842,0.000000
2451738.882870,0.097006,0.243153,1.112964,0.000000
2451740.084477,0.083891,0.185825,1.327332,0.000000
2451741.261998,0.075478,0.143661,2.158419,0.000000
2451742.415852,0.069656,0.112894,2.397462,0.000000
2451743.569754,0.055593,0.055543,2.677328,0.000000
2451744.734124,0.064665,0.097740,2.397727,0.000000
2451745.912178,0.071082,0.130819,2.166018,0.000000
2451747.119074,0.076347,0.159716,1.326132,0.000000
2451748.326247,0.085850,0.205154,1.167024,0.000000
2451749.532469,0.095001,0.246637,1.186096,0.000000
2451750.778192,0.087969,0.216099,1.199659,0.000000
2451752.075079,0.086772,0.210897,1.125970,0.000000
2451753.410646,0.082675,0.189421,1.349724,0.000000
2451754.728602,0.073525,0.146250,2.618375,0.000000
2451755.977231,0.073468,0.146046,2.914581,0.000000
2451757.135920,0.076643,0.161285,3.069983,0.000000
2451758.221579,0.078914,0.170883,3.441293,0.000000
2451759.300818,0.086891,0.208417,3.404343,0.000000
