timestamp,attention_score,engagement_index,theta_alpha_ratio,level
2451360.481062,0.066682,0.113441,1.952003,0.000000
2451361.750721,0.070479,0.132704,1.743779,0.000000
2451363.020010,0.072678,0.144472,1.765036,0.000000
2451364.225068,0.068261,0.125452,2.202960,0.000000
2451365.380837,0.074404,0.155949,2.929712,0.000000
2451366.534546,0.074775,0.158246,2.509765,0.000000
2451367.692749,0.078758,0.174423,2.674391,0.000000
2451368.864467,0.087679,0.209708,2.622382,0.000000
2451370.078452,0.084696,0.193638,2.298323,0.000000
2451371.335331,0.083125,0.186891,1.600632,0.000000
2451372.626295,0.082996,0.186099,1.424868,0.000000
2451373.903530,0.075966,0.154867,1.271611,0.000000
2451375.132041,0.065511,0.111568,1.425189,0.000000
2451376.324684,0.065855,0.113608,1.955054,0.000000
2451377.524645,0.077726,0.154718,2.027907,0.000000
2451378.763074,0.086846,0.197017,1.894717,0.000000
2451380.024279,0.086951,0.197590,1.890305,0.000000
2451381.239390,0.086653,0.195930,1.732550,0.000000
2451382.408785,0.086265,0.193634,1.484845,0.000000
2451383.587021,0.069393,0.126104,1.927151,0.000000
2451384.783097,0.076401,0.148286,1.804708,0.000000
2451386.023174,0.077092,0.151936,1.818161,0.000000
2451387.289119,0.077463,0.153999,1.886537,0.000000
2451388.544439,0.079351,0.164582,1.919431,0.000000
2451389.841924,0.088736,0.208583,1.220348,0.000000
2451391.166047,0.076040,0.162768,1.700505,0.000000
2451392.505960,0.077540,0.170153,2.094231,0.000000
2451393.829785,0.078279,0.174100,2.057361,0.000000
2451395.070532,0.078222,0.173796,1.871730,0.000000
2451396.249759,0.072198,0.148505,1.830968,0.000000
2451397.416894,0.070768,0.141265,1.422242,0.000000
2451398.615592,0.068005,0.127071,1.249452,0.000000
2451399.869869,0.068574,0.129976,1.200859,0.000000
2451401.106420,0.069519,0.134793,1.301285,0.000000
2451402.318182,0.077775,0.167787,1.204954,0.000000
2451403.531964,0.097358,0.235009,1.169446,0.000000
2451404.761209,0.112509,0.293233,0.924498,0.000000
2451406.006641,0.110028,0.279672,1.341034,0.000000
2451407.249041,0.108863,0.273689,1.525265,0.000000
2451408.469168,0.097502,0.223593,2.324030,0.000000
2451409.682415,0.079724,0.165395,2.786188,0.000000
2451410.916376,0.063022,0.097876,2.919661,0.000000
2451412.136458,0.061442,0.087782,5.300201,0.000000
2451413.363316,0.064836,0.104070,5.107585,0.000000
2451414.593509,0.079439,0.164259,4.419368,0.000000
2451415.826332,0.079138,0.162826,4.422674,0.000000
2451417.085541,0.089671,0.211246,4.304247,0.000000
2451418.326237,0.090826,0.218756,1.565862,0.000000
2451419.551356,0.098481,0.246659,1.294760,0.000000
2451420.765939,0.083031,0.181047,3.324599,0.000000
2451422.017673,0.082946,0.180637,2.940387,0.000000
2451423.264504,0.079776,0.168882,3.143519,0.000000
2451424.469409,0.083684,0.189893,3.232054,0.000000
2451425.640613,0.075766,0.160839,3.859200,0.000000
2451426.820319,0.086774,0.212310,2.139204,0.000000
2451428.070538,0.095356,0.245811,2.188454,0.000000
2451429.353326,0.108017,0.285499,2.034593,0.000000
2451430.614324,0.104094,0.264392,2.566145,0.000000
2451431.877872,0.103919,0.263618,2.360654,0.000000
2451433.125169,0.094306,0.220887,2.043480,0.000000
