timestamp,attention_score,engagement_index,theta_alpha_ratio,level
2451434.331253,0.082879,0.172235,1.888767,0.000000
2451435.487181,0.068364,0.124802,1.766022,0.000000
2451436.592878,0.069878,0.133643,1.245441,0.000000
2451437.733322,0.065109,0.108928,1.054163,0.000000
2451438.937654,0.064278,0.103846,1.706547,0.000000
2451440.192872,0.063538,0.099361,3.473303,0.000000
2451441.458001,0.067049,0.113459,3.691831,0.000000
2451442.681397,0.068249,0.119812,3.589460,0.000000
2451443.889582,0.069991,0.129777,3.797165,0.000000
2451445.136464,0.074463,0.153832,3.085369,0.000000
2451446.387259,0.078080,0.173624,1.300565,0.000000
2451447.643519,0.069334,0.132337,1.381393,0.000000
2451448.887789,0.068201,0.126354,1.821748,0.000000
2451450.088960,0.066253,0.115116,1.732557,0.000000
2451451.290166,0.064971,0.108954,1.877171,0.000000
2451452.460336,0.071517,0.135595,2.120351,0.000000
2451453.634550,0.077268,0.165018,2.493212,0.000000
2451454.837925,0.081380,0.184837,2.058718,0.000000
2451456.035125,0.084902,0.204087,1.690497,0.000000
2451457.226294,0.085948,0.209153,1.500816,0.000000
2451458.395966,0.082807,0.197448,1.289505,0.000000
2451459.596678,0.078069,0.174095,0.703190,0.000000
2451460.863727,0.073937,0.154163,0.880468,0.000000
2451462.176279,0.072326,0.145952,0.891095,0.000000
2451463.511040,0.075718,0.160455,0.913458,0.000000
2451464.833085,0.080674,0.178254,1.003544,0.000000
2451466.103247,0.082010,0.185575,1.106191,0.000000
2451467.324634,0.083313,0.192427,0.910602,0.000000
2451468.504267,0.082486,0.187844,1.366323,0.000000
2451469.709002,0.075004,0.151305,2.555941,0.000000
2451470.951778,0.064594,0.107991,3.100058,0.000000
2451472.199486,0.061942,0.092687,3.190267,0.000000
2451473.416218,0.067151,0.115327,3.227033,0.000000
2451474.577613,0.070593,0.132837,2.738162,0.000000
2451475.774641,0.078371,0.170529,1.553929,0.000000
2451477.015430,0.094458,0.230563,1.005663,0.000000
2451478.308337,0.101138,0.264522,0.732896,0.000000
2451479.606189,0.094629,0.235050,0.724545,0.000000
2451480.837657,0.090218,0.211792,0.921485,0.000000
2451482.033660,0.084215,0.184447,0.993001,0.000000
2451483.220744,0.066708,0.116121,1.053165,0.000000
2451484.427198,0.060757,0.086685,1.183657,0.000000
2451485.659832,0.069468,0.124114,1.170509,0.000000
2451486.907024,0.071608,0.136273,1.040691,0.000000
2451488.139415,0.075573,0.155344,1.352312,0.000000
2451489.366711,0.078047,0.169258,1.608569,0.000000
2451490.567460,0.082451,0.192041,1.791530,0.000000
2451491.754010,0.072999,0.150421,2.162974,0.000000
2451492.967163,0.073609,0.153563,2.279731,0.000000
2451494.185659,0.069790,0.135282,1.997850,0.000000
2451495.425216,0.071602,0.144085,1.861607,0.000000
2451496.653335,0.070394,0.138472,1.648415,0.000000
2451497.840807,0.072174,0.148167,1.250557,0.000000
2451499.021069,0.099957,0.231144,1.101193,0.000000
2451500.223361,0.122782,0.306659,1.115898,0.000000
2451501.483997,0.123376,0.309343,0.837538,0.000000
2451502.788435,0.123195,0.308467,0.779190,0.000000
2451504.062978,0.122450,0.304555,1.019571,0.000000
2451505.279664,0.093720,0.216650,1.109862,0.000000
2451506.475143,0.068049,0.123986,3.040806,0.000000
