timestamp,CH1,CH2,CH3,CH4
2253306.928168,1.981223,-1.258931,2.001567,1.795611
2253306.932751,1.981223,-1.258931,2.001567,1.795611
2253306.937334,1.426364,-1.258931,2.001567,1.795611
2253306.941917,0.871505,-1.258931,2.001567,1.795611
2253306.946501,0.316646,-1.258931,2.001567,1.795611
2253306.951084,-0.238213,-1.258931,1.821645,1.795611
2253306.955667,-0.793072,-1.258931,1.641722,1.795611
2253306.960250,-1.347931,-1.258931,1.461800,1.650458
2253306.964833,-1.059776,-0.972351,1.281878,1.505304
2253306.969416,-0.771622,-0.685770,1.101955,1.360150
2253306.973999,-0.483467,-0.399190,0.922033,1.214996
2253306.978582,-0.195312,-0.112610,0.979731,1.069843
2253306.987649,0.092843,0.173970,1.037429,0.924689
2253306.992240,0.380997,0.460551,1.095128,0.967658
2253306.996830,0.669152,0.747131,1.152826,1.010626
2253307.001421,0.957307,1.033711,1.210524,1.053595
2253307.006011,1.245462,1.320291,1.268223,1.096563
2253307.010602,1.533616,1.606872,1.043637,1.139532
2253307.015193,1.821771,1.893452,0.819051,1.226816
2253307.019783,1.210965,1.278296,0.594465,1.314099
2253307.024374,0.600159,0.663140,0.369880,1.401383
2253307.028965,-0.010647,0.047984,0.145294,1.488667
2253307.033555,-0.621453,-0.567172,-0.027517,1.575951
2253307.038146,-1.232259,-1.182328,-0.200328,1.254162
2253307.047194,-1.182038,-1.134033,-0.373139,0.932374
2253307.051792,-1.131816,-1.085737,-0.545950,0.610586
2253307.056390,-1.081594,-1.037442,-0.718761,0.288798
2253307.060988,-1.031373,-0.989147,-0.887716,-0.032991
2253307.065587,-0.981151,-0.940852,-1.056671,-0.354779
2253307.070185,-0.930929,-0.892557,-1.225626,-0.282795
2253307.074783,-0.880708,-0.844261,-1.394580,-0.210812
2253307.079381,-0.830486,-0.795966,-1.563535,-0.138828
2253307.083979,-0.780264,-0.747671,-0.980068,-0.066844
2253307.088578,-0.730043,-0.699376,-0.396601,0.005139
2253307.093176,-0.679821,-0.651081,0.186866,0.077123
2253307.097774,-0.629599,-0.602785,0.770333,0.149106
2253307.106752,-0.579378,-0.554490,1.353801,0.221090
2253307.111358,-0.529156,-0.506195,1.937268,0.293074
2253307.115963,-0.478934,-0.457900,1.438633,0.365057
2253307.120569,-0.428713,-0.409605,0.939998,0.437041
2253307.125175,-0.378491,-0.361309,0.441364,0.509024
2253307.129780,-0.328269,-0.313014,-0.057271,0.581008
2253307.134386,-0.278048,-0.264719,-0.555906,0.652992
2253307.138992,-0.139221,-0.120797,-0.499416,0.206500
2253307.143597,-0.000394,0.023126,-0.442926,-0.239992
2253307.148203,0.138433,0.167048,-0.386436,-0.686484
2253307.152809,0.277260,0.310971,-0.329946,-1.132976
2253307.157414,0.416087,0.454893,-0.273456,-1.579468
2253307.166317,0.554914,0.598816,-0.216966,-1.184229
2253307.170930,0.693741,0.742738,-0.160477,-0.788991
2253307.175543,0.718033,0.766464,-0.103987,-0.393752
2253307.180156,0.742324,0.790190,-0.047497,0.001487
2253307.184769,0.766616,0.813916,-0.347289,0.396726
2253307.189382,0.790908,0.837642,-0.647082,0.791965
2253307.193996,0.815199,0.861368,-0.946874,1.187204
2253307.198609,0.839491,0.885094,-1.246667,0.454920
2253307.203222,0.863782,0.908820,-1.546459,-0.277365
2253307.207835,0.888074,0.932546,-1.846252,-1.009649
2253307.212448,0.912365,0.956272,-1.360221,-1.741933
2253307.217061,0.936657,0.979998,-0.874190,-0.515547
2253307.225925,0.960949,1.003724,-0.388160,0.710839
2253307.230546,0.985240,1.027450,0.097871,0.732428
2253307.235166,1.009532,1.051176,0.583901,0.754016
2253307.239787,1.033823,1.074902,1.069932,0.775604
2253307.244407,1.058115,1.098628,1.555962,0.797192
2253307.249028,1.082406,1.122354,0.905019,0.818781
2253307.253648,1.106698,1.146080,0.254076,0.840369
2253307.258269,1.130990,1.169806,-0.396867,0.861957
2253307.262890,1.155281,1.193532,-1.047810,0.883545
2253307.267510,1.179573,1.217258,-1.698753,0.905134
2253307.272131,1.203864,1.240984,-1.617014,0.926722
2253307.276751,1.228156,1.264710,-1.535275,0.948310
2253307.282427,1.252447,1.288436,-1.453536,0.969899
2253307.287050,1.276739,1.312162,-1.371797,0.991487
2253307.291672,1.301031,1.335888,-1.290058,1.013075
2253307.300428,1.325322,1.359614,-1.208320,1.034663
2253307.305058,1.349614,1.383339,-1.126581,1.056252
2253307.309687,0.558893,0.576656,-1.044842,1.077840
2253307.314317,-0.231827,-0.230028,-0.963103,1.099428
2253307.318947,-1.022547,-1.036712,-0.881364,1.121016
2253307.323577,-0.764480,-0.747509,-0.799625,1.142605
2253307.328206,-0.506412,-0.458306,-0.717886,1.164193
2253307.332836,-0.239846,-0.206795,-0.636147,1.185781
2253307.337466,0.026721,0.044716,-0.554408,1.207369
2253307.342095,0.293287,0.296227,-0.472670,1.228958
2253307.346725,0.542218,0.543962,-0.390931,0.391664
2253307.351355,0.791148,0.791696,-0.309192,-0.445630
2253307.359940,1.040079,1.039431,-0.227453,-0.456132
2253307.364577,1.289010,1.287166,-0.145714,-0.466634
2253307.369213,1.537940,1.534900,-0.063975,-0.477136
2253307.373850,1.403521,1.401777,0.017764,0.681681
2253307.378487,1.269101,1.268654,0.099503,1.840499
2253307.383124,1.134682,1.135531,0.181242,1.624748
2253307.387761,1.000263,1.002408,0.262981,1.408998
2253307.392398,0.865843,0.869285,0.344719,1.193247
2253307.397034,0.731424,0.736162,0.426458,0.977497
2253307.401671,0.597004,0.603040,0.535609,0.761746
2253307.406308,0.462585,0.469917,0.644760,0.545995
2253307.410945,0.328166,0.336794,0.753911,0.330245
2253307.342886,0.193746,0.203671,0.863062,0.114494
2253307.420879,0.059327,0.070548,0.263117,-0.101256
2253307.425517,-0.075093,-0.062575,-0.336828,-0.317007
2253307.433956,-0.209512,-0.195698,-0.062136,-0.532757
2253307.438601,-0.343931,-0.328821,0.212557,-0.748508
2253307.443246,-0.478351,-0.461944,0.487250,-0.964259
2253307.447891,-0.612770,-0.595067,0.761943,-1.180009
2253307.452536,-0.577804,-0.569919,1.036635,-0.631765
2253307.457181,-0.542839,-0.544772,1.311328,-0.083520
2253307.461826,-0.507873,-0.519624,1.586021,0.464724
2253307.466471,-0.288027,-0.299275,1.860714,1.012969
2253307.471116,-0.068182,-0.078927,1.531046,1.561213
2253307.475761,0.151664,0.141422,1.201378,1.432627
2253307.480405,0.371509,0.361770,0.871711,1.304041
2253307.485050,0.591355,0.582119,0.542043,1.175455
2253307.491543,0.773387,0.766058,0.212375,0.994144
2253307.496191,0.955420,0.949998,-0.124345,0.812834
2253307.500839,1.137453,1.133937,-0.461066,0.631524
2253307.505488,1.319486,1.317877,-0.797786,0.450213
2253307.510136,1.501519,1.501816,-1.134507,0.268903
2253307.514784,1.335192,1.338676,-1.471227,0.012433
2253307.522978,1.168865,1.175535,-1.497231,-0.244037
2253307.527633,1.002537,1.012394,-1.523234,-0.500507
2253307.532288,0.836210,0.849253,-1.549237,-0.756977
2253307.536943,0.669883,0.686113,-1.575240,-1.013447
2253307.541598,0.503556,0.522972,-1.601243,-1.024076
2253307.546253,0.337229,0.359831,-1.627246,-1.034706
2253307.550908,0.170902,0.196690,-1.653249,-1.045335
2253307.555563,0.004575,0.033550,-1.679252,-1.055965
2253307.560218,-0.161752,-0.129591,-1.024359,-1.066594
2253307.564873,-0.328079,-0.292732,-0.369466,-1.077224
